title,fork,stars,watch,recent_time,writer,url,img
awesome-ios,"6,784","45,684","1,820","Apr 11, 2024, 8:16 AM GMT+9",vsouza,https://github.com/vsouza/awesome-ios,https://avatars.githubusercontent.com/u/484656?s=48&v=4
open-source-ios-apps,"5,302","40,010","1,444","Apr 19, 2024, 12:58 AM GMT+9",dkhamsing,https://github.com/dkhamsing/open-source-ios-apps,https://avatars.githubusercontent.com/u/4723115?s=48&v=4
open-source-mac-os-apps,"2,255","39,401",971,"Nov 3, 2023, 8:46 AM GMT+9",serhii-londar,https://github.com/serhii-londar/open-source-mac-os-apps,https://avatars.githubusercontent.com/u/15808174?s=48&v=4
SDWebImage,"5,943","24,907",794,"Mar 26, 2024, 6:22 PM GMT+9",SDWebImage,https://github.com/SDWebImage/SDWebImage,https://avatars.githubusercontent.com/u/33113626?s=48&v=4
NativeScript,"1,640","23,637",656,"Apr 17, 2024, 3:30 AM GMT+9",NativeScript,https://github.com/NativeScript/NativeScript,https://avatars.githubusercontent.com/u/7392261?s=48&v=4
IQKeyboardManager,"2,386","16,323",358,"Apr 3, 2024, 2:31 PM GMT+9",hackiftekhar,https://github.com/hackiftekhar/IQKeyboardManager,https://avatars.githubusercontent.com/u/3831495?s=48&v=4
realm-swift,"2,130","16,122",378,"Apr 18, 2024, 7:19 AM GMT+9",realm,https://github.com/realm/realm-swift,https://avatars.githubusercontent.com/u/7575099?s=48&v=4
OpenEmu,"1,234","15,746",422,"Mar 12, 2024, 6:27 AM GMT+9",OpenEmu,https://github.com/OpenEmu/OpenEmu,https://avatars.githubusercontent.com/u/528189?s=48&v=4
BackgroundMusic,655,"15,062",149,"Mar 7, 2024, 6:42 AM GMT+9",kyleneideck,https://github.com/kyleneideck/BackgroundMusic,https://avatars.githubusercontent.com/u/2290968?s=48&v=4
infer,"1,998","14,690",605,"Apr 19, 2024, 5:30 AM GMT+9",facebook,https://github.com/facebook/infer,https://avatars.githubusercontent.com/u/69631?s=48&v=4
CocoaPods,"2,611","14,421",553,"Apr 17, 2024, 7:50 AM GMT+9",CocoaPods,https://github.com/CocoaPods/CocoaPods,https://avatars.githubusercontent.com/u/1189714?s=48&v=4
MJRefresh,"3,548","13,769",445,"Mar 26, 2024, 11:45 AM GMT+9",CoderMJLee,https://github.com/CoderMJLee/MJRefresh,https://avatars.githubusercontent.com/u/3817366?s=48&v=4
CocoaLumberjack,"2,259","13,116",382,"Apr 17, 2024, 12:42 AM GMT+9",CocoaLumberjack,https://github.com/CocoaLumberjack/CocoaLumberjack,https://avatars.githubusercontent.com/u/6108054?s=48&v=4
IGListKit,"1,534","12,783",340,"Apr 19, 2024, 1:01 PM GMT+9",Instagram,https://github.com/Instagram/IGListKit,https://avatars.githubusercontent.com/u/549085?s=48&v=4
Halfrost-Field,"1,852","12,692",476,"Dec 29, 2023, 5:58 AM GMT+9",halfrost,https://github.com/halfrost/Halfrost-Field,https://avatars.githubusercontent.com/u/10825609?s=48&v=4
SVProgressHUD,"2,634","12,414",327,"Apr 5, 2024, 5:40 AM GMT+9",SVProgressHUD,https://github.com/SVProgressHUD/SVProgressHUD,https://avatars.githubusercontent.com/u/16267749?s=48&v=4
TimLiu-iOS,"3,791","11,605",678,"Mar 30, 2024, 4:27 PM GMT+9",Tim9Liu9,https://github.com/Tim9Liu9/TimLiu-iOS,https://avatars.githubusercontent.com/u/7368592?s=48&v=4
quicktype,"1,009","11,472",90,"Apr 19, 2024, 4:18 AM GMT+9",glideapps,https://github.com/glideapps/quicktype,https://avatars.githubusercontent.com/u/30638520?s=48&v=4
hammerspoon,569,"11,459",117,"Dec 24, 2023, 8:32 PM GMT+9",Hammerspoon,https://github.com/Hammerspoon/hammerspoon,https://avatars.githubusercontent.com/u/9214848?s=48&v=4
Mantle,"1,487","11,331",396,"Jun 24, 2022, 11:01 PM GMT+9",Mantle,https://github.com/Mantle/Mantle,https://avatars.githubusercontent.com/u/7318467?s=48&v=4
