title,fork,stars,watch,recent_time,writer,url,img
opencv,"55,608","75,443","2,657","Apr 19, 2024, 5:36 PM GMT+9",opencv,https://github.com/opencv/opencv,https://avatars.githubusercontent.com/u/5009934?s=48&v=4
openpose,"7,767","29,815",919,"Apr 15, 2024, 10:47 PM GMT+9",CMU-Perceptual-Computing-Lab,https://github.com/CMU-Perceptual-Computing-Lab/openpose,https://avatars.githubusercontent.com/u/12239573?s=48&v=4
learnopencv,"11,463","20,363",886,"Apr 16, 2024, 10:11 PM GMT+9",spmallick,https://github.com/spmallick/learnopencv,https://avatars.githubusercontent.com/u/1720200?s=48&v=4
faceai,"2,486","10,577",387,"Jan 18, 2019, 11:36 AM GMT+9",vipstone,https://github.com/vipstone/faceai,https://avatars.githubusercontent.com/u/14868811?s=48&v=4
openFrameworks,"2,544","9,775",520,"Mar 11, 2024, 12:38 AM GMT+9",openframeworks,https://github.com/openframeworks/openFrameworks,https://avatars.githubusercontent.com/u/142866?s=48&v=4
robotgo,840,"9,240",246,"Apr 16, 2024, 2:14 AM GMT+9",go-vgo,https://github.com/go-vgo/robotgo,https://avatars.githubusercontent.com/u/22145830?s=48&v=4
opencv_contrib,"5,717","9,065",386,"Apr 17, 2024, 11:15 PM GMT+9",opencv,https://github.com/opencv/opencv_contrib,https://avatars.githubusercontent.com/u/5009934?s=48&v=4
MVision,"2,743","7,668",382,"Dec 13, 2020, 4:52 PM GMT+9",Ewenwan,https://github.com/Ewenwan/MVision,https://avatars.githubusercontent.com/u/23008890?s=48&v=4
javacv,"1,555","7,253",247,"Mar 26, 2024, 11:02 PM GMT+9",bytedeco,https://github.com/bytedeco/javacv,https://avatars.githubusercontent.com/u/5856852?s=48&v=4
EasyPR,"2,506","6,317",525,"Feb 1, 2018, 8:11 PM GMT+9",liuruoze,https://github.com/liuruoze/EasyPR,https://avatars.githubusercontent.com/u/8255297?s=48&v=4
gocv,847,"6,280",154,"Apr 5, 2024, 3:05 PM GMT+9",hybridgroup,https://github.com/hybridgroup/gocv,https://avatars.githubusercontent.com/u/212109?s=48&v=4
BossSensor,"1,087","6,183",264,"Oct 31, 2018, 8:42 PM GMT+9",Hironsan,https://github.com/Hironsan/BossSensor,https://avatars.githubusercontent.com/u/6737785?s=48&v=4
tiler,422,"5,822",59,"Oct 31, 2023, 10:55 PM GMT+9",nuno-faria,https://github.com/nuno-faria/tiler,https://avatars.githubusercontent.com/u/26089290?s=48&v=4
TagUI,561,"5,328",141,"Jul 10, 2023, 2:11 AM GMT+9",aisingapore,https://github.com/aisingapore/TagUI,https://avatars.githubusercontent.com/u/110224767?s=48&v=4
opencvsharp,"1,109","5,103",229,"Feb 29, 2024, 1:52 PM GMT+9",shimat,https://github.com/shimat/opencvsharp,https://avatars.githubusercontent.com/u/4434824?s=48&v=4
SynapseML,811,"4,966",147,"Apr 19, 2024, 4:57 AM GMT+9",microsoft,https://github.com/microsoft/SynapseML,https://avatars.githubusercontent.com/u/6154722?s=48&v=4
opencv4nodejs,808,"4,889",136,"Jun 22, 2022, 4:51 AM GMT+9",justadudewhohacks,https://github.com/justadudewhohacks/opencv4nodejs,https://avatars.githubusercontent.com/u/31125521?s=48&v=4
AI-Job-Notes,627,"4,682",130,"Mar 21, 2024, 6:05 PM GMT+9",amusi,https://github.com/amusi/AI-Job-Notes,https://avatars.githubusercontent.com/u/22436957?s=48&v=4
RPA-Python,629,"4,525",104,"Dec 24, 2023, 10:29 PM GMT+9",tebelorg,https://github.com/tebelorg/RPA-Python,https://avatars.githubusercontent.com/u/10379612?s=48&v=4
pigo,304,"4,283",102,"Feb 20, 2023, 7:16 PM GMT+9",esimov,https://github.com/esimov/pigo,https://avatars.githubusercontent.com/u/883386?s=48&v=4
