title,fork,stars,watch,recent_time,writer,url,img
pandas,"17,311","41,892","1,116","Apr 19, 2024, 9:01 AM GMT+9",pandas-dev,https://github.com/pandas-dev/pandas,https://avatars.githubusercontent.com/u/21206976?s=48&v=4
PythonDataScienceHandbook,"17,526","41,410","1,779","May 6, 2023, 8:20 AM GMT+9",jakevdp,https://github.com/jakevdp/PythonDataScienceHandbook,https://avatars.githubusercontent.com/u/781659?s=48&v=4
30-Days-Of-Python,"6,373","31,030",726,"Jul 9, 2023, 7:59 AM GMT+9",Asabeneh,https://github.com/Asabeneh/30-Days-Of-Python,https://avatars.githubusercontent.com/u/9008063?s=48&v=4
tqdm,"1,316","27,401",208,"Feb 11, 2024, 3:11 AM GMT+9",tqdm,https://github.com/tqdm/tqdm,https://avatars.githubusercontent.com/u/12731565?s=48&v=4
data-science-ipython-notebooks,"7,720","26,447","1,620","Feb 11, 2019, 7:51 PM GMT+9",donnemartin,https://github.com/donnemartin/data-science-ipython-notebooks,https://avatars.githubusercontent.com/u/5458997?s=48&v=4
Data-Science-For-Beginners,"5,401","26,293",485,"Feb 20, 2024, 1:36 PM GMT+9",microsoft,https://github.com/microsoft/Data-Science-For-Beginners,https://avatars.githubusercontent.com/u/6154722?s=48&v=4
datasets,"2,508","18,375",278,"Apr 19, 2024, 5:52 PM GMT+9",huggingface,https://github.com/huggingface/datasets,https://avatars.githubusercontent.com/u/25720743?s=48&v=4
tushare,"4,286","12,611",982,"Mar 4, 2020, 11:36 PM GMT+9",waditu,https://github.com/waditu/tushare,https://avatars.githubusercontent.com/u/10395504?s=48&v=4
ydata-profiling,"1,629","12,018",151,"Apr 10, 2024, 1:00 AM GMT+9",ydataai,https://github.com/ydataai/ydata-profiling,https://avatars.githubusercontent.com/u/57689451?s=48&v=4
dask,"1,665","11,981",211,"Apr 18, 2024, 11:11 PM GMT+9",dask,https://github.com/dask/dask,https://avatars.githubusercontent.com/u/17131925?s=48&v=4
seaborn,"1,855","11,941",259,"Mar 31, 2024, 3:50 AM GMT+9",mwaskom,https://github.com/mwaskom/seaborn,https://avatars.githubusercontent.com/u/315810?s=48&v=4
yfinance,"2,197","11,774",240,"Apr 17, 2024, 6:18 AM GMT+9",ranaroussi,https://github.com/ranaroussi/yfinance,https://avatars.githubusercontent.com/u/1185458?s=48&v=4
abu,"3,658","11,223",738,"Oct 25, 2023, 12:50 PM GMT+9",bbfamily,https://github.com/bbfamily/abu,https://avatars.githubusercontent.com/u/6149331?s=48&v=4
pandas-ai,977,"10,877",91,"Apr 19, 2024, 7:02 AM GMT+9",Sinaptik-AI,https://github.com/Sinaptik-AI/pandas-ai,https://avatars.githubusercontent.com/u/154438448?s=48&v=4
pandas_exercises,"7,896","10,158",307,"Sep 19, 2020, 3:31 AM GMT+9",guipsamora,https://github.com/guipsamora/pandas_exercises,https://avatars.githubusercontent.com/u/3289179?s=48&v=4
pygwalker,466,"9,709",59,"Apr 16, 2024, 4:23 PM GMT+9",Kanaries,https://github.com/Kanaries/pygwalker,https://avatars.githubusercontent.com/u/57262471?s=48&v=4
modin,641,"9,465",116,"Apr 19, 2024, 4:18 AM GMT+9",modin-project,https://github.com/modin-project/modin,https://avatars.githubusercontent.com/u/40475955?s=48&v=4
mlcourse.ai,"5,640","9,383",585,"May 22, 2023, 6:52 PM GMT+9",Yorko,https://github.com/Yorko/mlcourse.ai,https://avatars.githubusercontent.com/u/3973673?s=48&v=4
Ai-Learn,"2,044","8,416",189,"Dec 26, 2023, 2:39 AM GMT+9",tangyudi,https://github.com/tangyudi/Ai-Learn,https://avatars.githubusercontent.com/u/16098702?s=48&v=4
visidata,270,"7,402",71,"Apr 12, 2024, 2:33 PM GMT+9",saulpw,https://github.com/saulpw/visidata,https://avatars.githubusercontent.com/u/236498?s=48&v=4
