title,fork,stars,watch,recent_time,writer,url,img
netdata,"5,714","68,058","1,354","Apr 19, 2024, 5:28 PM GMT+9",netdata,https://github.com/netdata/netdata,https://avatars.githubusercontent.com/u/43390781?s=48&v=4
supabase,"6,115","65,588",492,"Apr 19, 2024, 5:06 PM GMT+9",supabase,https://github.com/supabase/supabase,https://avatars.githubusercontent.com/u/54469796?s=48&v=4
gogs,"4,800","44,103","1,022","Apr 15, 2024, 11:36 PM GMT+9",gogs,https://github.com/gogs/gogs,https://avatars.githubusercontent.com/u/6656686?s=48&v=4
nocodb,"2,898","42,194",353,"Apr 19, 2024, 2:08 PM GMT+9",nocodb,https://github.com/nocodb/nocodb,https://avatars.githubusercontent.com/u/50206778?s=48&v=4
discourse,"8,125","40,430",899,"Apr 19, 2024, 5:31 PM GMT+9",discourse,https://github.com/discourse/discourse,https://avatars.githubusercontent.com/u/3220138?s=48&v=4
dbeaver,"3,234","37,293",513,"Apr 18, 2024, 9:38 PM GMT+9",dbeaver,https://github.com/dbeaver/dbeaver,https://avatars.githubusercontent.com/u/34743864?s=48&v=4
prisma,"1,419","37,122",233,"Apr 14, 2024, 3:59 PM GMT+9",prisma,https://github.com/prisma/prisma,https://avatars.githubusercontent.com/u/17219288?s=48&v=4
metabase,"4,852","36,424",644,"Apr 19, 2024, 9:54 AM GMT+9",metabase,https://github.com/metabase/metabase,https://avatars.githubusercontent.com/u/10520629?s=48&v=4
typeorm,"6,172","33,260",346,"Mar 29, 2024, 12:06 AM GMT+9",typeorm,https://github.com/typeorm/typeorm,https://avatars.githubusercontent.com/u/20165699?s=48&v=4
quivr,"3,104","32,123",269,"Apr 19, 2024, 5:54 PM GMT+9",QuivrHQ,https://github.com/QuivrHQ/quivr,https://avatars.githubusercontent.com/u/159330290?s=48&v=4
sequelize,"4,243","29,024",416,"Apr 19, 2024, 12:31 PM GMT+9",sequelize,https://github.com/sequelize/sequelize,https://avatars.githubusercontent.com/u/3591786?s=48&v=4
cal.com,"6,455","28,538",157,"Apr 19, 2024, 5:04 PM GMT+9",calcom,https://github.com/calcom/cal.com,https://avatars.githubusercontent.com/u/79145102?s=48&v=4
maybe,"2,019","26,453",139,"Apr 19, 2024, 6:05 AM GMT+9",maybe-finance,https://github.com/maybe-finance/maybe,https://avatars.githubusercontent.com/u/80786585?s=48&v=4
directus,"3,522","25,338",303,"Apr 18, 2024, 10:16 PM GMT+9",directus,https://github.com/directus/directus,https://avatars.githubusercontent.com/u/15967950?s=48&v=4
redash,"4,247","24,918",577,"Apr 18, 2024, 9:35 PM GMT+9",getredash,https://github.com/getredash/redash,https://avatars.githubusercontent.com/u/10746780?s=48&v=4
plane,"1,249","23,874",95,"Apr 16, 2024, 10:28 PM GMT+9",makeplane,https://github.com/makeplane/plane,https://avatars.githubusercontent.com/u/115727700?s=48&v=4
full-stack-fastapi-template,"3,729","22,775",262,"Apr 16, 2024, 11:57 PM GMT+9",tiangolo,https://github.com/tiangolo/full-stack-fastapi-template,https://avatars.githubusercontent.com/u/1326112?s=48&v=4
postgrest,979,"22,104",341,"Apr 19, 2024, 7:08 AM GMT+9",PostgREST,https://github.com/PostgREST/postgrest,https://avatars.githubusercontent.com/u/15115011?s=48&v=4
drizzle-orm,433,"19,502",44,"Apr 11, 2024, 4:10 PM GMT+9",drizzle-team,https://github.com/drizzle-team/drizzle-orm,https://avatars.githubusercontent.com/u/108468352?s=48&v=4
shardingsphere,"6,602","19,423","1,020","Apr 19, 2024, 4:49 PM GMT+9",apache,https://github.com/apache/shardingsphere,https://avatars.githubusercontent.com/u/47359?s=48&v=4
