title,fork,stars,watch,recent_time,writer,url,img
stable-diffusion-webui,"25,081","128,968","1,021","Apr 13, 2024, 12:37 PM GMT+9",AUTOMATIC1111,https://github.com/AUTOMATIC1111/stable-diffusion-webui,https://avatars.githubusercontent.com/u/20920490?s=48&v=4
transformers,"24,708","124,575","1,094","Apr 19, 2024, 5:24 PM GMT+9",huggingface,https://github.com/huggingface/transformers,https://avatars.githubusercontent.com/u/25720743?s=48&v=4
keras,"19,338","60,904","1,908","Oct 28, 2023, 11:39 PM GMT+9",keras-team,https://github.com/keras-team/keras,https://avatars.githubusercontent.com/u/34455048?s=48&v=4
Real-Time-Voice-Cloning,"8,520","50,681",931,"Mar 22, 2023, 7:55 PM GMT+9",CorentinJ,https://github.com/CorentinJ/Real-Time-Voice-Cloning,https://avatars.githubusercontent.com/u/12038136?s=48&v=4
annotated_deep_learning_paper_implementations,"4,960","47,597",429,"Mar 17, 2024, 9:17 PM GMT+9",labmlai,https://github.com/labmlai/annotated_deep_learning_paper_implementations,https://avatars.githubusercontent.com/u/64068543?s=48&v=4
yolov5,"15,526","46,749",362,"Apr 18, 2024, 12:41 PM GMT+9",ultralytics,https://github.com/ultralytics/yolov5,https://avatars.githubusercontent.com/u/26833451?s=48&v=4
Made-With-ML,"5,724","35,613","1,219","Dec 8, 2023, 4:37 AM GMT+9",GokuMohandas,https://github.com/GokuMohandas/Made-With-ML,https://avatars.githubusercontent.com/u/8000987?s=48&v=4
GFPGAN,"5,692","34,538",493,"Apr 3, 2024, 1:39 AM GMT+9",TencentARC,https://github.com/TencentARC/GFPGAN,https://avatars.githubusercontent.com/u/83739826?s=48&v=4
MockingBird,"5,082","33,794",307,"Sep 6, 2023, 12:15 AM GMT+9",babysor,https://github.com/babysor/MockingBird,https://avatars.githubusercontent.com/u/7423248?s=48&v=4
DeepSpeed,"3,830","32,529",325,"Apr 19, 2024, 6:14 AM GMT+9",microsoft,https://github.com/microsoft/DeepSpeed,https://avatars.githubusercontent.com/u/6154722?s=48&v=4
ComfyUI,"3,416","32,368",282,"Apr 19, 2024, 4:52 PM GMT+9",comfyanonymous,https://github.com/comfyanonymous/ComfyUI,https://avatars.githubusercontent.com/u/121283862?s=48&v=4
ray,"5,238","30,984",471,"Apr 19, 2024, 8:46 AM GMT+9",ray-project,https://github.com/ray-project/ray,https://avatars.githubusercontent.com/u/22125274?s=48&v=4
pytorch-image-models,"4,563","29,678",304,"Apr 12, 2024, 2:16 AM GMT+9",huggingface,https://github.com/huggingface/pytorch-image-models,https://avatars.githubusercontent.com/u/25720743?s=48&v=4
fairseq,"6,231","29,198",420,"Mar 13, 2024, 10:24 PM GMT+9",facebookresearch,https://github.com/facebookresearch/fairseq,https://avatars.githubusercontent.com/u/16943930?s=48&v=4
pytorch-tutorial,"7,968","29,079",624,"Jul 6, 2020, 12:36 PM GMT+9",yunjey,https://github.com/yunjey/pytorch-tutorial,https://avatars.githubusercontent.com/u/15663219?s=48&v=4
TTS,"3,400","29,005",256,"Feb 10, 2024, 11:20 PM GMT+9",coqui-ai,https://github.com/coqui-ai/TTS,https://avatars.githubusercontent.com/u/75583352?s=48&v=4
mmdetection,"9,184","27,714",371,"Feb 5, 2024, 10:23 PM GMT+9",open-mmlab,https://github.com/open-mmlab/mmdetection,https://avatars.githubusercontent.com/u/10245193?s=48&v=4
pytorch-lightning,"3,243","26,808",247,"Apr 17, 2024, 8:28 AM GMT+9",Lightning-AI,https://github.com/Lightning-AI/pytorch-lightning,https://avatars.githubusercontent.com/u/58386951?s=48&v=4
netron,"2,657","26,031",295,"Apr 19, 2024, 10:39 AM GMT+9",lutzroeder,https://github.com/lutzroeder/netron,https://avatars.githubusercontent.com/u/438516?s=48&v=4
Real-ESRGAN,"3,263","25,965",219,"Apr 3, 2024, 1:39 AM GMT+9",xinntao,https://github.com/xinntao/Real-ESRGAN,https://avatars.githubusercontent.com/u/17445847?s=48&v=4
