title,fork,stars,watch,recent_time,writer,url,img
system-design-primer,"43,328","253,209","6,607","Mar 16, 2023, 6:58 PM GMT+9",donnemartin,https://github.com/donnemartin/system-design-primer,https://avatars.githubusercontent.com/u/5458997?s=48&v=4
awesome-python,"24,488","204,568","5,980","Apr 15, 2024, 8:17 PM GMT+9",vinta,https://github.com/vinta/awesome-python,https://avatars.githubusercontent.com/u/652070?s=48&v=4
tensorflow,"73,874","182,325","7,640","Apr 19, 2024, 5:07 PM GMT+9",tensorflow,https://github.com/tensorflow/tensorflow,https://avatars.githubusercontent.com/u/15658638?s=48&v=4
Python,"43,595","179,187","5,938","Apr 16, 2024, 5:21 AM GMT+9",TheAlgorithms,https://github.com/TheAlgorithms/Python,https://avatars.githubusercontent.com/u/20487725?s=48&v=4
CS-Notes,"50,761","172,179","5,330","Jul 20, 2023, 12:02 PM GMT+9",CyC2018,https://github.com/CyC2018/CS-Notes,https://avatars.githubusercontent.com/u/36260787?s=48&v=4
project-based-learning,"22,099","167,351","2,737","Mar 21, 2023, 7:24 PM GMT+9",practical-tutorials,https://github.com/practical-tutorials/project-based-learning,https://avatars.githubusercontent.com/u/89421154?s=48&v=4
AutoGPT,"41,943","161,067","1,566","Apr 19, 2024, 4:35 AM GMT+9",Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT,https://avatars.githubusercontent.com/u/130738209?s=48&v=4
transformers,"24,708","124,575","1,094","Apr 19, 2024, 5:24 PM GMT+9",huggingface,https://github.com/huggingface/transformers,https://avatars.githubusercontent.com/u/25720743?s=48&v=4
30-seconds-of-code,"11,847","119,040","2,578","Apr 16, 2024, 4:43 AM GMT+9",Chalarangelo,https://github.com/Chalarangelo/30-seconds-of-code,https://avatars.githubusercontent.com/u/8281875?s=48&v=4
free-programming-books-zh_CN,"28,081","109,076","5,907","Jan 22, 2024, 9:24 AM GMT+9",justjavac,https://github.com/justjavac/free-programming-books-zh_CN,https://avatars.githubusercontent.com/u/359395?s=48&v=4
HelloGitHub,"9,431","84,649","2,948","Mar 28, 2024, 12:32 PM GMT+9",521xueweihan,https://github.com/521xueweihan/HelloGitHub,https://avatars.githubusercontent.com/u/8255800?s=48&v=4
thefuck,"3,396","82,710",839,"Jan 26, 2024, 4:52 AM GMT+9",nvbn,https://github.com/nvbn/thefuck,https://avatars.githubusercontent.com/u/1114542?s=48&v=4
pytorch,"20,991","77,654","1,698","Apr 19, 2024, 2:17 PM GMT+9",pytorch,https://github.com/pytorch/pytorch,https://avatars.githubusercontent.com/u/21003710?s=48&v=4
django,"30,741","76,672","2,306","Apr 18, 2024, 12:38 AM GMT+9",django,https://github.com/django/django,https://avatars.githubusercontent.com/u/27804?s=48&v=4
fastapi,"5,931","70,708",664,"Apr 19, 2024, 10:03 AM GMT+9",tiangolo,https://github.com/tiangolo/fastapi,https://avatars.githubusercontent.com/u/1326112?s=48&v=4
yt-dlp,"5,578","70,174",444,"Apr 19, 2024, 8:18 AM GMT+9",yt-dlp,https://github.com/yt-dlp/yt-dlp,https://avatars.githubusercontent.com/u/79589310?s=48&v=4
core,"27,906","68,478","1,343","Apr 19, 2024, 4:43 PM GMT+9",home-assistant,https://github.com/home-assistant/core,https://avatars.githubusercontent.com/u/13844975?s=48&v=4
ML-For-Beginners,"13,543","66,812",999,"Feb 20, 2024, 1:39 PM GMT+9",microsoft,https://github.com/microsoft/ML-For-Beginners,https://avatars.githubusercontent.com/u/6154722?s=48&v=4
flask,"15,918","66,303","2,127","Apr 9, 2024, 7:29 AM GMT+9",pallets,https://github.com/pallets/flask,https://avatars.githubusercontent.com/u/16748505?s=48&v=4
devops-exercises,"13,869","63,301","1,180","Feb 2, 2024, 10:29 PM GMT+9",bregman-arie,https://github.com/bregman-arie/devops-exercises,https://avatars.githubusercontent.com/u/10349437?s=48&v=4
