title,fork,stars,watch,recent_time,writer,url,img
flameshot,"1,499","23,122",206,"Apr 19, 2024, 5:50 AM GMT+9",flameshot-org,https://github.com/flameshot-org/flameshot,https://avatars.githubusercontent.com/u/36951528?s=48&v=4
cool-retro-term,817,"21,296",309,"Mar 31, 2022, 2:18 PM GMT+9",Swordfish90,https://github.com/Swordfish90/cool-retro-term,https://avatars.githubusercontent.com/u/6009070?s=48&v=4
matplotlib,"7,387","19,221",594,"Apr 19, 2024, 9:48 AM GMT+9",matplotlib,https://github.com/matplotlib/matplotlib,https://avatars.githubusercontent.com/u/215947?s=48&v=4
QtScrcpy,"2,250","16,259",192,"Apr 8, 2024, 4:07 PM GMT+9",barry-ran,https://github.com/barry-ran/QtScrcpy,https://avatars.githubusercontent.com/u/18702692?s=48&v=4
PySimpleGUI,"1,825","13,113",230,"Apr 13, 2024, 5:15 AM GMT+9",PySimpleGUI,https://github.com/PySimpleGUI/PySimpleGUI,https://avatars.githubusercontent.com/u/46163555?s=48&v=4
openage,"1,100","12,375",404,"Apr 18, 2024, 9:35 PM GMT+9",SFTtech,https://github.com/SFTtech/openage,https://avatars.githubusercontent.com/u/1783325?s=48&v=4
MuseScore,"2,510","11,489",238,"Apr 19, 2024, 5:35 PM GMT+9",musescore,https://github.com/musescore/MuseScore,https://avatars.githubusercontent.com/u/380563?s=48&v=4
tiled,"1,706","10,588",346,"Apr 18, 2024, 11:45 PM GMT+9",mapeditor,https://github.com/mapeditor/tiled,https://avatars.githubusercontent.com/u/1009172?s=48&v=4
urh,844,"10,397",422,"Apr 6, 2024, 5:39 PM GMT+9",jopohl,https://github.com/jopohl/urh,https://avatars.githubusercontent.com/u/18219846?s=48&v=4
qt,732,"10,220",309,"Sep 4, 2020, 3:39 PM GMT+9",therecipe,https://github.com/therecipe/qt,https://avatars.githubusercontent.com/u/9833226?s=48&v=4
nekoray,988,"10,206",67,"Feb 24, 2024, 11:10 PM GMT+9",MatsuriDayo,https://github.com/MatsuriDayo/nekoray,https://avatars.githubusercontent.com/u/95122236?s=48&v=4
qutebrowser,"1,003","9,329",169,"Apr 16, 2024, 6:10 PM GMT+9",qutebrowser,https://github.com/qutebrowser/qutebrowser,https://avatars.githubusercontent.com/u/21955151?s=48&v=4
nodegui,286,"8,729",94,"Mar 6, 2024, 4:13 AM GMT+9",nodegui,https://github.com/nodegui/nodegui,https://avatars.githubusercontent.com/u/51644128?s=48&v=4
NotepadNext,504,"8,334",90,"Apr 7, 2024, 12:36 PM GMT+9",dail8859,https://github.com/dail8859/NotepadNext,https://avatars.githubusercontent.com/u/3694843?s=48&v=4
moonlight-qt,500,"8,221",91,"Apr 19, 2024, 2:29 PM GMT+9",moonlight-stream,https://github.com/moonlight-stream/moonlight-qt,https://avatars.githubusercontent.com/u/6118379?s=48&v=4
spyder,"1,566","8,030",298,"Apr 19, 2024, 9:54 AM GMT+9",spyder-ide,https://github.com/spyder-ide/spyder,https://avatars.githubusercontent.com/u/1284937?s=48&v=4
olive,531,"7,801",175,"Mar 28, 2024, 1:39 AM GMT+9",olive-editor,https://github.com/olive-editor/olive,https://avatars.githubusercontent.com/u/34836846?s=48&v=4
liteide,964,"7,444",367,"Jan 15, 2024, 12:26 PM GMT+9",visualfc,https://github.com/visualfc/liteide,https://avatars.githubusercontent.com/u/714279?s=48&v=4
albert,299,"7,064",88,"Mar 6, 2024, 10:01 PM GMT+9",albertlauncher,https://github.com/albertlauncher/albert,https://avatars.githubusercontent.com/u/18707603?s=48&v=4
FileCentipede,434,"6,620",60,"Apr 1, 2024, 1:06 PM GMT+9",filecxx,https://github.com/filecxx/FileCentipede,https://avatars.githubusercontent.com/u/100348948?s=48&v=4
