title,fork,stars,watch,recent_time,writer,url,img
maybe,"2,019","26,453",139,"Apr 19, 2024, 6:05 AM GMT+9",maybe-finance,https://github.com/maybe-finance/maybe,https://avatars.githubusercontent.com/u/80786585?s=48&v=4
curriculum,"12,113","8,743",235,"Apr 19, 2024, 8:26 AM GMT+9",TheOdinProject,https://github.com/TheOdinProject/curriculum,https://avatars.githubusercontent.com/u/4441966?s=48&v=4
ransack,777,"5,585",94,"Feb 10, 2024, 11:03 PM GMT+9",activerecord-hackery,https://github.com/activerecord-hackery/ransack,https://avatars.githubusercontent.com/u/5951504?s=48&v=4
doorkeeper,"1,051","5,255",108,"Apr 3, 2024, 5:20 PM GMT+9",doorkeeper-gem,https://github.com/doorkeeper-gem/doorkeeper,https://avatars.githubusercontent.com/u/7275750?s=48&v=4
docuseal,303,"5,128",25,"Apr 13, 2024, 11:41 PM GMT+9",docusealco,https://github.com/docusealco/docuseal,https://avatars.githubusercontent.com/u/138379721?s=48&v=4
react_on_rails,624,"5,056",83,"Apr 6, 2024, 8:40 AM GMT+9",shakacode,https://github.com/shakacode/react_on_rails,https://avatars.githubusercontent.com/u/13779463?s=48&v=4
mongoid,"1,380","3,916",109,"Apr 9, 2024, 5:57 AM GMT+9",mongodb,https://github.com/mongodb/mongoid,https://avatars.githubusercontent.com/u/45120?s=48&v=4
rails_panel,179,"3,829",58,"Apr 13, 2024, 5:46 PM GMT+9",dejan,https://github.com/dejan/rails_panel,https://avatars.githubusercontent.com/u/4494?s=48&v=4
koala,470,"3,557",91,"Aug 24, 2023, 6:12 AM GMT+9",arsduo,https://github.com/arsduo/koala,https://avatars.githubusercontent.com/u/48325?s=48&v=4
theodinproject,"2,040","3,421",149,"Apr 17, 2024, 4:57 AM GMT+9",TheOdinProject,https://github.com/TheOdinProject/theodinproject,https://avatars.githubusercontent.com/u/4441966?s=48&v=4
elasticsearch-rails,790,"3,055",393,"Apr 17, 2024, 5:55 PM GMT+9",elastic,https://github.com/elastic/elasticsearch-rails,https://avatars.githubusercontent.com/u/6764390?s=48&v=4
octopus,501,"2,524",60,"Dec 2, 2020, 9:54 AM GMT+9",thiagopradi,https://github.com/thiagopradi/octopus,https://avatars.githubusercontent.com/u/6090?s=48&v=4
good_job,186,"2,440",24,"Apr 19, 2024, 9:59 AM GMT+9",bensheldon,https://github.com/bensheldon/good_job,https://avatars.githubusercontent.com/u/47554?s=48&v=4
stimulus_reflex,166,"2,199",26,"Apr 6, 2024, 6:21 AM GMT+9",stimulusreflex,https://github.com/stimulusreflex/stimulus_reflex,https://avatars.githubusercontent.com/u/73479186?s=48&v=4
rspec-rails-examples,320,"2,154",86,"Feb 6, 2016, 1:37 AM GMT+9",eliotsykes,https://github.com/eliotsykes/rspec-rails-examples,https://avatars.githubusercontent.com/u/31698?s=48&v=4
config,226,"2,080",32,"Apr 12, 2024, 9:04 AM GMT+9",rubyconfig,https://github.com/rubyconfig/config,https://avatars.githubusercontent.com/u/7978031?s=48&v=4
karafka,166,"1,968",30,"Apr 18, 2024, 10:11 PM GMT+9",karafka,https://github.com/karafka/karafka,https://avatars.githubusercontent.com/u/13313336?s=48&v=4
sidekiq-cron,273,"1,818",23,"Apr 16, 2024, 4:22 AM GMT+9",sidekiq-cron,https://github.com/sidekiq-cron/sidekiq-cron,https://avatars.githubusercontent.com/u/115579612?s=48&v=4
zen-rails-security-checklist,151,"1,814",76,"Mar 9, 2020, 8:42 PM GMT+9",brunofacca,https://github.com/brunofacca/zen-rails-security-checklist,https://avatars.githubusercontent.com/u/13872579?s=48&v=4
real-world-rails,136,"1,697",33,"Apr 13, 2024, 9:37 PM GMT+9",eliotsykes,https://github.com/eliotsykes/real-world-rails,https://avatars.githubusercontent.com/u/31698?s=48&v=4
