title,fork,stars,watch,recent_time,writer,url,img
devops-exercises,"13,869","63,301","1,180","Feb 2, 2024, 10:29 PM GMT+9",bregman-arie,https://github.com/bregman-arie/devops-exercises,https://avatars.githubusercontent.com/u/10349437?s=48&v=4
spark,"27,928","38,309","2,033","Apr 19, 2024, 4:57 PM GMT+9",apache,https://github.com/apache/spark,https://avatars.githubusercontent.com/u/47359?s=48&v=4
dbeaver,"3,234","37,295",513,"Apr 18, 2024, 9:38 PM GMT+9",dbeaver,https://github.com/dbeaver/dbeaver,https://avatars.githubusercontent.com/u/34743864?s=48&v=4
tidb,"5,707","36,093","1,273","Apr 19, 2024, 12:10 PM GMT+9",pingcap,https://github.com/pingcap/tidb,https://avatars.githubusercontent.com/u/11855343?s=48&v=4
ClickHouse,"6,457","34,066",690,"Apr 19, 2024, 7:30 AM GMT+9",ClickHouse,https://github.com/ClickHouse/ClickHouse,https://avatars.githubusercontent.com/u/54801242?s=48&v=4
cockroach,"3,616","29,028",696,"Apr 19, 2024, 4:08 PM GMT+9",cockroachdb,https://github.com/cockroachdb/cockroach,https://avatars.githubusercontent.com/u/6748139?s=48&v=4
sequelize,"4,243","29,024",416,"Apr 19, 2024, 12:31 PM GMT+9",sequelize,https://github.com/sequelize/sequelize,https://avatars.githubusercontent.com/u/3591786?s=48&v=4
directus,"3,522","25,338",303,"Apr 18, 2024, 10:16 PM GMT+9",directus,https://github.com/directus/directus,https://avatars.githubusercontent.com/u/15967950?s=48&v=4
surrealdb,774,"25,131",162,"Apr 19, 2024, 4:35 AM GMT+9",surrealdb,https://github.com/surrealdb/surrealdb,https://avatars.githubusercontent.com/u/10982346?s=48&v=4
flink,"12,939","23,132",947,"Apr 19, 2024, 5:19 PM GMT+9",apache,https://github.com/apache/flink,https://avatars.githubusercontent.com/u/47359?s=48&v=4
TDengine,"4,799","22,788",696,"Apr 19, 2024, 12:31 AM GMT+9",taosdata,https://github.com/taosdata/TDengine,https://avatars.githubusercontent.com/u/48876650?s=48&v=4
postgrest,979,"22,104",341,"Apr 19, 2024, 7:08 AM GMT+9",PostgREST,https://github.com/PostgREST/postgrest,https://avatars.githubusercontent.com/u/15115011?s=48&v=4
osquery,"2,411","21,326",683,"Apr 18, 2024, 11:12 PM GMT+9",osquery,https://github.com/osquery/osquery,https://avatars.githubusercontent.com/u/8315868?s=48&v=4
drizzle-orm,433,"19,502",44,"Apr 11, 2024, 4:10 PM GMT+9",drizzle-team,https://github.com/drizzle-team/drizzle-orm,https://avatars.githubusercontent.com/u/108468352?s=48&v=4
shardingsphere,"6,602","19,423","1,020","Apr 19, 2024, 4:49 PM GMT+9",apache,https://github.com/apache/shardingsphere,https://avatars.githubusercontent.com/u/47359?s=48&v=4
mybatis-3,"12,663","19,397","1,157","Apr 19, 2024, 8:28 AM GMT+9",mybatis,https://github.com/mybatis/mybatis-3,https://avatars.githubusercontent.com/u/1483254?s=48&v=4
knex,"2,087","18,724",207,"Apr 7, 2024, 11:33 PM GMT+9",knex,https://github.com/knex/knex,https://avatars.githubusercontent.com/u/10490573?s=48&v=4
CS-Books,"3,499","18,505",182,"Oct 7, 2023, 12:27 PM GMT+9",forthespada,https://github.com/forthespada/CS-Books,https://avatars.githubusercontent.com/u/44971298?s=48&v=4
cube,"1,692","17,122",155,"Apr 19, 2024, 8:27 AM GMT+9",cube-js,https://github.com/cube-js/cube,https://avatars.githubusercontent.com/u/52467369?s=48&v=4
Dapper,"3,641","17,118",938,"Apr 13, 2024, 5:07 PM GMT+9",DapperLib,https://github.com/DapperLib/Dapper,https://avatars.githubusercontent.com/u/83077457?s=48&v=4
