title,fork,stars,watch,recent_time,writer,url,img
ohmyzsh,"25,590","168,552","2,653","Apr 18, 2024, 5:49 PM GMT+9",ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,https://avatars.githubusercontent.com/u/22552083?s=48&v=4
thefuck,"3,396","82,710",839,"Jan 26, 2024, 4:52 AM GMT+9",nvbn,https://github.com/nvbn/thefuck,https://avatars.githubusercontent.com/u/1114542?s=48&v=4
nvm,"7,629","75,484",996,"Mar 9, 2024, 3:28 PM GMT+9",nvm-sh,https://github.com/nvm-sh/nvm,https://avatars.githubusercontent.com/u/49963700?s=48&v=4
nerd-fonts,"3,544","51,061",385,"Apr 18, 2024, 2:38 PM GMT+9",ryanoasis,https://github.com/ryanoasis/nerd-fonts,https://avatars.githubusercontent.com/u/8083459?s=48&v=4
git,"25,068","49,856","2,391","Apr 17, 2024, 6:50 AM GMT+9",git,https://github.com/git/git,https://avatars.githubusercontent.com/u/18133?s=48&v=4
tldr,"3,962","48,298",367,"Apr 19, 2024, 8:47 AM GMT+9",tldr-pages,https://github.com/tldr-pages/tldr,https://avatars.githubusercontent.com/u/7366472?s=48&v=4
pi-hole,"2,599","46,732",708,"Apr 1, 2024, 3:46 AM GMT+9",pi-hole,https://github.com/pi-hole/pi-hole,https://avatars.githubusercontent.com/u/16827203?s=48&v=4
PowerShell,"7,017","43,278","1,422","Apr 19, 2024, 5:28 AM GMT+9",PowerShell,https://github.com/PowerShell/PowerShell,https://avatars.githubusercontent.com/u/11524380?s=48&v=4
zx,"1,039","41,567",156,"Apr 19, 2024, 12:26 AM GMT+9",google,https://github.com/google/zx,https://avatars.githubusercontent.com/u/1342004?s=48&v=4
edex-ui,"2,465","39,813","1,486","Oct 20, 2021, 7:38 AM GMT+9",GitSquared,https://github.com/GitSquared/edex-ui,https://avatars.githubusercontent.com/u/24496417?s=48&v=4
pyenv,"2,925","36,606",386,"Apr 10, 2024, 5:38 AM GMT+9",pyenv,https://github.com/pyenv/pyenv,https://avatars.githubusercontent.com/u/16530698?s=48&v=4
acme.sh,"4,738","36,368",490,"Apr 1, 2024, 6:46 PM GMT+9",acmesh-official,https://github.com/acmesh-official/acme.sh,https://avatars.githubusercontent.com/u/60454762?s=48&v=4
pure-bash-bible,"3,214","35,829",744,"Oct 22, 2020, 12:39 AM GMT+9",dylanaraps,https://github.com/dylanaraps/pure-bash-bible,https://avatars.githubusercontent.com/u/6799467?s=48&v=4
shellcheck,"1,712","34,928",417,"Apr 15, 2024, 10:47 AM GMT+9",koalaman,https://github.com/koalaman/shellcheck,https://avatars.githubusercontent.com/u/2818758?s=48&v=4
awesome-shell,"2,319","31,069",770,"Feb 20, 2024, 2:02 PM GMT+9",alebcay,https://github.com/alebcay/awesome-shell,https://avatars.githubusercontent.com/u/3536482?s=48&v=4
nushell,"1,545","29,852",181,"Apr 19, 2024, 3:53 PM GMT+9",nushell,https://github.com/nushell/nushell,https://avatars.githubusercontent.com/u/50749515?s=48&v=4
modern-unix,755,"29,703",409,"Feb 4, 2023, 9:02 AM GMT+9",ibraheemdev,https://github.com/ibraheemdev/modern-unix,https://avatars.githubusercontent.com/u/34988408?s=48&v=4
zsh-autosuggestions,"1,829","29,537",182,"Sep 7, 2023, 11:58 PM GMT+9",zsh-users,https://github.com/zsh-users/zsh-autosuggestions,https://avatars.githubusercontent.com/u/567410?s=48&v=4
awesome-macos-command-line,"1,434","28,391",758,"Sep 2, 2021, 10:26 PM GMT+9",herrbischoff,https://github.com/herrbischoff/awesome-macos-command-line,https://avatars.githubusercontent.com/u/8957346?s=48&v=4
cmder,"2,020","25,546",576,"Apr 10, 2024, 9:01 PM GMT+9",cmderdev,https://github.com/cmderdev/cmder,https://avatars.githubusercontent.com/u/11646750?s=48&v=4
