title,fork,stars,watch,recent_time,writer,url,img
openzeppelin-contracts,"11,612","24,080",643,"Apr 9, 2024, 7:03 PM GMT+9",OpenZeppelin,https://github.com/OpenZeppelin/openzeppelin-contracts,https://avatars.githubusercontent.com/u/20820676?s=48&v=4
solidity,"5,502","22,239",716,"Apr 19, 2024, 1:24 AM GMT+9",ethereum,https://github.com/ethereum/solidity,https://avatars.githubusercontent.com/u/6250754?s=48&v=4
ethereumbook,"4,783","19,282",581,"Jul 25, 2021, 6:13 AM GMT+9",ethereumbook,https://github.com/ethereumbook/ethereumbook,https://avatars.githubusercontent.com/u/20952070?s=48&v=4
truffle,"2,286","14,008",338,"Sep 22, 2023, 4:42 AM GMT+9",trufflesuite,https://github.com/trufflesuite/truffle,https://avatars.githubusercontent.com/u/22205159?s=48&v=4
full-blockchain-solidity-course-js,"2,721","11,385",221,"Sep 1, 2023, 4:20 AM GMT+9",smartcontractkit,https://github.com/smartcontractkit/full-blockchain-solidity-course-js,https://avatars.githubusercontent.com/u/25111032?s=48&v=4
full-blockchain-solidity-course-py,"2,878","10,543",247,"Apr 10, 2024, 2:10 PM GMT+9",smartcontractkit,https://github.com/smartcontractkit/full-blockchain-solidity-course-py,https://avatars.githubusercontent.com/u/25111032?s=48&v=4
WTF-Solidity,"1,765","10,164",138,"Apr 13, 2024, 4:37 PM GMT+9",AmazingAng,https://github.com/AmazingAng/WTF-Solidity,https://avatars.githubusercontent.com/u/14728591?s=48&v=4
DeFi-Developer-Road-Map,"1,197","9,427",191,"Apr 19, 2024, 10:40 AM GMT+9",OffcierCia,https://github.com/OffcierCia/DeFi-Developer-Road-Map,https://avatars.githubusercontent.com/u/85769282?s=48&v=4
scaffold-eth,"3,484","8,972",150,"Oct 11, 2023, 8:26 AM GMT+9",scaffold-eth,https://github.com/scaffold-eth/scaffold-eth,https://avatars.githubusercontent.com/u/90008925?s=48&v=4
foundry,"1,463","7,519",71,"Apr 19, 2024, 7:11 AM GMT+9",foundry-rs,https://github.com/foundry-rs/foundry,https://avatars.githubusercontent.com/u/99892494?s=48&v=4
smart-contract-best-practices,"1,424","7,309",324,"Jan 11, 2024, 11:41 PM GMT+9",Consensys,https://github.com/Consensys/smart-contract-best-practices,https://avatars.githubusercontent.com/u/10818037?s=48&v=4
hardhat,"1,286","6,749",74,"Apr 18, 2024, 9:10 PM GMT+9",NomicFoundation,https://github.com/NomicFoundation/hardhat,https://avatars.githubusercontent.com/u/38917137?s=48&v=4
chainlink,"1,572","6,570",315,"Apr 19, 2024, 3:14 PM GMT+9",smartcontractkit,https://github.com/smartcontractkit/chainlink,https://avatars.githubusercontent.com/u/25111032?s=48&v=4
awesome-solidity,921,"6,333",165,"Sep 26, 2023, 5:13 AM GMT+9",bkrem,https://github.com/bkrem/awesome-solidity,https://avatars.githubusercontent.com/u/8663099?s=48&v=4
slither,905,"4,995",67,"Apr 8, 2024, 6:46 AM GMT+9",crytic,https://github.com/crytic/slither,https://avatars.githubusercontent.com/u/48330002?s=48&v=4
web3j,"1,623","4,952",225,"Apr 19, 2024, 3:04 AM GMT+9",hyperledger,https://github.com/hyperledger/web3j,https://avatars.githubusercontent.com/u/7657900?s=48&v=4
DeFiHackLabs,"1,001","4,675",134,"Apr 19, 2024, 8:50 AM GMT+9",SunWeb3Sec,https://github.com/SunWeb3Sec/DeFiHackLabs,https://avatars.githubusercontent.com/u/107249780?s=48&v=4
eattheblocks,"3,215","3,965",271,"Oct 22, 2021, 6:43 PM GMT+9",jklepatch,https://github.com/jklepatch/eattheblocks,https://avatars.githubusercontent.com/u/9279488?s=48&v=4
project_web3.0,"1,086","3,916",42,"Oct 15, 2023, 10:10 PM GMT+9",adrianhajdin,https://github.com/adrianhajdin/project_web3.0,https://avatars.githubusercontent.com/u/24898559?s=48&v=4
mythril,700,"3,707",80,"Mar 28, 2024, 10:47 PM GMT+9",Consensys,https://github.com/Consensys/mythril,https://avatars.githubusercontent.com/u/10818037?s=48&v=4
