title,fork,stars,watch,recent_time,writer,url,img
tensorflow,"73,874","182,325","7,640","Apr 19, 2024, 6:05 PM GMT+9",tensorflow,https://github.com/tensorflow/tensorflow,https://avatars.githubusercontent.com/u/15658638?s=48&v=4
transformers,"24,708","124,576","1,094","Apr 19, 2024, 5:24 PM GMT+9",huggingface,https://github.com/huggingface/transformers,https://avatars.githubusercontent.com/u/25720743?s=48&v=4
keras,"19,338","60,904","1,908","Apr 19, 2024, 11:38 AM GMT+9",keras-team,https://github.com/keras-team/keras,https://avatars.githubusercontent.com/u/34455048?s=48&v=4
Real-Time-Voice-Cloning,"8,520","50,681",931,"Dec 28, 2021, 9:18 PM GMT+9",CorentinJ,https://github.com/CorentinJ/Real-Time-Voice-Cloning,https://avatars.githubusercontent.com/u/12038136?s=48&v=4
TensorFlow-Examples,"15,002","43,194","2,056","May 17, 2020, 5:14 AM GMT+9",aymericdamien,https://github.com/aymericdamien/TensorFlow-Examples,https://avatars.githubusercontent.com/u/10386605?s=48&v=4
bert,"9,475","36,967","1,000","Mar 12, 2020, 12:19 AM GMT+9",google-research,https://github.com/google-research/bert,https://avatars.githubusercontent.com/u/43830688?s=48&v=4
gold-miner,"5,011","33,358","1,275","Jan 21, 2024, 4:30 PM GMT+9",xitu,https://github.com/xitu/gold-miner,https://avatars.githubusercontent.com/u/10482599?s=48&v=4
photoprism,"1,768","32,528",330,"Apr 19, 2024, 5:29 PM GMT+9",photoprism,https://github.com/photoprism/photoprism,https://avatars.githubusercontent.com/u/32436079?s=48&v=4
ray,"5,238","30,984",471,"Apr 19, 2024, 8:46 AM GMT+9",ray-project,https://github.com/ray-project/ray,https://avatars.githubusercontent.com/u/22125274?s=48&v=4
data-science-ipython-notebooks,"7,720","26,447","1,620","Feb 11, 2019, 7:51 PM GMT+9",donnemartin,https://github.com/donnemartin/data-science-ipython-notebooks,https://avatars.githubusercontent.com/u/5458997?s=48&v=4
netron,"2,657","26,031",295,"Apr 19, 2024, 10:39 AM GMT+9",lutzroeder,https://github.com/lutzroeder/netron,https://avatars.githubusercontent.com/u/438516?s=48&v=4
handson-ml,"12,930","25,090","1,087","Sep 26, 2022, 8:15 AM GMT+9",ageron,https://github.com/ageron/handson-ml,https://avatars.githubusercontent.com/u/76661?s=48&v=4
spleeter,"2,714","24,864",384,"Jul 13, 2023, 5:50 PM GMT+9",deezer,https://github.com/deezer/spleeter,https://avatars.githubusercontent.com/u/4393583?s=48&v=4
DeepSpeech,"3,879","24,217",663,"Nov 18, 2021, 2:52 AM GMT+9",mozilla,https://github.com/mozilla/DeepSpeech,https://avatars.githubusercontent.com/u/131524?s=48&v=4
Mask_RCNN,"11,625","24,119",582,"Apr 1, 2019, 7:03 AM GMT+9",matterport,https://github.com/matterport/Mask_RCNN,https://avatars.githubusercontent.com/u/4206481?s=48&v=4
d2l-en,"4,106","21,613",403,"Mar 17, 2024, 7:46 AM GMT+9",d2l-ai,https://github.com/d2l-ai/d2l-en,https://avatars.githubusercontent.com/u/43974506?s=48&v=4
100-Days-Of-ML-Code,"5,427","20,778","1,088","Apr 6, 2022, 9:01 PM GMT+9",MLEveryday,https://github.com/MLEveryday/100-Days-Of-ML-Code,https://avatars.githubusercontent.com/u/42115061?s=48&v=4
ncnn,"4,053","19,168",573,"Apr 15, 2024, 12:14 PM GMT+9",Tencent,https://github.com/Tencent/ncnn,https://avatars.githubusercontent.com/u/18461506?s=48&v=4
datasets,"2,508","18,375",278,"Apr 19, 2024, 5:52 PM GMT+9",huggingface,https://github.com/huggingface/datasets,https://avatars.githubusercontent.com/u/25720743?s=48&v=4
onnx,"3,597","16,790",437,"Apr 16, 2024, 1:45 PM GMT+9",onnx,https://github.com/onnx/onnx,https://avatars.githubusercontent.com/u/31675368?s=48&v=4
