title,fork,stars,watch,recent_time,writer,url,img
devops-exercises,"13,869","63,302","1,180","Feb 2, 2024, 10:29 PM GMT+9",bregman-arie,https://github.com/bregman-arie/devops-exercises,https://avatars.githubusercontent.com/u/10349437?s=48&v=4
terraform,"9,291","41,100","1,179","Apr 19, 2024, 1:59 AM GMT+9",hashicorp,https://github.com/hashicorp/terraform,https://avatars.githubusercontent.com/u/761456?s=48&v=4
90DaysOfDevOps,"6,116","25,796",526,"Apr 15, 2024, 8:24 PM GMT+9",MichaelCade,https://github.com/MichaelCade/90DaysOfDevOps,https://avatars.githubusercontent.com/u/11822323?s=48&v=4
microservices-demo,"6,452","15,752",220,"Apr 19, 2024, 6:21 AM GMT+9",GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/microservices-demo,https://avatars.githubusercontent.com/u/2810941?s=48&v=4
terraformer,"1,571","11,744",128,"Mar 6, 2024, 8:25 PM GMT+9",GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/terraformer,https://avatars.githubusercontent.com/u/2810941?s=48&v=4
infracost,513,"10,239",69,"Apr 19, 2024, 5:28 PM GMT+9",infracost,https://github.com/infracost/infracost,https://avatars.githubusercontent.com/u/68374653?s=48&v=4
terraform-provider-aws,"8,850","9,446",449,"Apr 19, 2024, 8:50 AM GMT+9",hashicorp,https://github.com/hashicorp/terraform-provider-aws,https://avatars.githubusercontent.com/u/761456?s=48&v=4
docker-android,"1,131","8,013",163,"Mar 21, 2024, 3:58 PM GMT+9",budtmo,https://github.com/budtmo/docker-android,https://avatars.githubusercontent.com/u/22218312?s=48&v=4
homelab,675,"7,713",80,"Apr 18, 2024, 10:11 PM GMT+9",khuedoan,https://github.com/khuedoan/homelab,https://avatars.githubusercontent.com/u/27996771?s=48&v=4
terragrunt,942,"7,613",123,"Apr 17, 2024, 5:40 AM GMT+9",gruntwork-io,https://github.com/gruntwork-io/terragrunt,https://avatars.githubusercontent.com/u/17118990?s=48&v=4
terratest,"1,311","7,330",120,"Mar 21, 2024, 4:37 AM GMT+9",gruntwork-io,https://github.com/gruntwork-io/terratest,https://avatars.githubusercontent.com/u/17118990?s=48&v=4
atlantis,986,"7,280",74,"Apr 19, 2024, 9:31 AM GMT+9",runatlantis,https://github.com/runatlantis/atlantis,https://avatars.githubusercontent.com/u/32311288?s=48&v=4
coder,549,"6,845",59,"Apr 19, 2024, 8:47 AM GMT+9",coder,https://github.com/coder/coder,https://avatars.githubusercontent.com/u/95932066?s=48&v=4
tfsec,526,"6,544",71,"Jan 17, 2024, 11:27 AM GMT+9",aquasecurity,https://github.com/aquasecurity/tfsec,https://avatars.githubusercontent.com/u/12783832?s=48&v=4
checkov,"1,035","6,504",57,"Apr 19, 2024, 8:01 AM GMT+9",bridgecrewio,https://github.com/bridgecrewio/checkov,https://avatars.githubusercontent.com/u/48174253?s=48&v=4
steampipe,244,"6,379",39,"Apr 18, 2024, 12:52 AM GMT+9",turbot,https://github.com/turbot/steampipe,https://avatars.githubusercontent.com/u/38865304?s=48&v=4
guide,251,"5,526",114,"Sep 21, 2023, 11:36 PM GMT+9",hobby-kube,https://github.com/hobby-kube/guide,https://avatars.githubusercontent.com/u/26108800?s=48&v=4
awesome-tf,835,"5,166",185,"Apr 6, 2024, 4:51 AM GMT+9",shuaibiyy,https://github.com/shuaibiyy/awesome-tf,https://avatars.githubusercontent.com/u/1766965?s=48&v=4
KubeOperator,867,"4,933",149,"Dec 28, 2023, 5:55 PM GMT+9",KubeOperator,https://github.com/KubeOperator/KubeOperator,https://avatars.githubusercontent.com/u/52770786?s=48&v=4
wild-workouts-go-ddd-example,451,"4,875",88,"Jul 10, 2023, 3:53 PM GMT+9",ThreeDotsLabs,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example,https://avatars.githubusercontent.com/u/16671995?s=48&v=4
