title,fork,stars,watch,recent_time,writer,url,img
ScreenToGif,"2,133","22,626",352,"Mar 25, 2024, 5:53 AM GMT+9",NickeManarin,https://github.com/NickeManarin/ScreenToGif,https://avatars.githubusercontent.com/u/14798947?s=48&v=4
SteamTools,"1,144","18,149",95,"Apr 18, 2024, 9:39 PM GMT+9",BeyondDimension,https://github.com/BeyondDimension/SteamTools,https://avatars.githubusercontent.com/u/79355691?s=48&v=4
MaterialDesignInXamlToolkit,"3,365","14,608",509,"Apr 19, 2024, 3:17 AM GMT+9",MaterialDesignInXAML,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit,https://avatars.githubusercontent.com/u/16655083?s=48&v=4
CefSharp,"2,892","9,664",545,"Mar 24, 2024, 2:19 PM GMT+9",cefsharp,https://github.com/cefsharp/CefSharp,https://avatars.githubusercontent.com/u/5076038?s=48&v=4
Captura,"1,762","9,336",227,"May 13, 2020, 9:52 PM GMT+9",MathewSachin,https://github.com/MathewSachin/Captura,https://avatars.githubusercontent.com/u/10654537?s=48&v=4
MahApps.Metro,"2,443","9,121",448,"Apr 12, 2024, 4:44 AM GMT+9",MahApps,https://github.com/MahApps/MahApps.Metro,https://avatars.githubusercontent.com/u/1130789?s=48&v=4
EarTrumpet,494,"8,401",120,"Apr 18, 2024, 9:00 PM GMT+9",File-New-Project,https://github.com/File-New-Project/EarTrumpet,https://avatars.githubusercontent.com/u/13286252?s=48&v=4
Playnite,467,"8,191",125,"Apr 15, 2024, 5:54 PM GMT+9",JosefNemec,https://github.com/JosefNemec/Playnite,https://avatars.githubusercontent.com/u/3874087?s=48&v=4
Dependencies,673,"8,108",148,"Nov 11, 2021, 8:59 PM GMT+9",lucasg,https://github.com/lucasg/Dependencies,https://avatars.githubusercontent.com/u/2520861?s=48&v=4
ReactiveUI,"1,114","7,896",360,"Mar 31, 2024, 6:11 AM GMT+9",reactiveui,https://github.com/reactiveui/ReactiveUI,https://avatars.githubusercontent.com/u/2327577?s=48&v=4
EverythingToolbar,361,"7,749",87,"Apr 8, 2024, 4:17 AM GMT+9",srwi,https://github.com/srwi/EverythingToolbar,https://avatars.githubusercontent.com/u/17520641?s=48&v=4
ShadowsocksR-Windows,"1,130","6,930",148,"Apr 16, 2024, 10:17 AM GMT+9",HMBSbige,https://github.com/HMBSbige/ShadowsocksR-Windows,https://avatars.githubusercontent.com/u/19153265?s=48&v=4
wpf,"1,124","6,802",284,"Apr 19, 2024, 2:12 AM GMT+9",dotnet,https://github.com/dotnet/wpf,https://avatars.githubusercontent.com/u/9141961?s=48&v=4
Windows-Auto-Night-Mode,244,"6,774",42,"Mar 1, 2024, 1:09 AM GMT+9",AutoDarkMode,https://github.com/AutoDarkMode/Windows-Auto-Night-Mode,https://avatars.githubusercontent.com/u/89929298?s=48&v=4
wpfui,609,"6,453",74,"Apr 14, 2024, 5:57 PM GMT+9",lepoco,https://github.com/lepoco/wpfui,https://avatars.githubusercontent.com/u/87412094?s=48&v=4
Prism,"1,618","6,103",391,"Apr 8, 2024, 3:13 AM GMT+9",PrismLibrary,https://github.com/PrismLibrary/Prism,https://avatars.githubusercontent.com/u/10503161?s=48&v=4
WindowsCommunityToolkit,"1,371","5,767",333,"Sep 22, 2023, 7:31 AM GMT+9",CommunityToolkit,https://github.com/CommunityToolkit/WindowsCommunityToolkit,https://avatars.githubusercontent.com/u/41346473?s=48&v=4
HandyControl,969,"5,628",134,"Apr 14, 2024, 1:56 PM GMT+9",HandyOrg,https://github.com/HandyOrg/HandyControl,https://avatars.githubusercontent.com/u/46532717?s=48&v=4
Live-Charts,"1,358","5,473",346,"Dec 21, 2022, 2:48 AM GMT+9",Live-Charts,https://github.com/Live-Charts/Live-Charts,https://avatars.githubusercontent.com/u/22404408?s=48&v=4
Hearthstone-Deck-Tracker,"1,106","4,602",200,"Apr 19, 2024, 5:56 PM GMT+9",HearthSim,https://github.com/HearthSim/Hearthstone-Deck-Tracker,https://avatars.githubusercontent.com/u/11226219?s=48&v=4
