title,fork,stars,watch,recent_time,writer,url,img
vue-element-admin,"30,281","86,299","2,205","Apr 11, 2022, 12:32 PM GMT+9",PanJiaChen,https://github.com/PanJiaChen/vue-element-admin,https://avatars.githubusercontent.com/u/8121621?s=48&v=4
storybook,"8,989","82,727",919,"Apr 19, 2024, 4:22 PM GMT+9",storybookjs,https://github.com/storybookjs/storybook,https://avatars.githubusercontent.com/u/22632046?s=48&v=4
webpack,"8,714","64,157","1,483","Apr 17, 2024, 6:56 PM GMT+9",webpack,https://github.com/webpack/webpack,https://avatars.githubusercontent.com/u/2105791?s=48&v=4
vue2-elm,"12,458","40,743","1,494","May 19, 2023, 4:54 PM GMT+9",bailicangdu,https://github.com/bailicangdu/vue2-elm,https://avatars.githubusercontent.com/u/20297227?s=48&v=4
ngx-admin,"7,924","25,025",883,"Jan 5, 2024, 9:18 PM GMT+9",akveo,https://github.com/akveo/ngx-admin,https://avatars.githubusercontent.com/u/11921694?s=48&v=4
turbo,"1,682","24,868",135,"Apr 19, 2024, 5:00 AM GMT+9",vercel,https://github.com/vercel/turbo,https://avatars.githubusercontent.com/u/14985020?s=48&v=4
electron-react-boilerplate,"3,754","22,621",283,"Sep 17, 2023, 3:29 AM GMT+9",electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,https://avatars.githubusercontent.com/u/14985020?s=48&v=4
react-redux-links,"2,503","22,513",736,"Feb 1, 2022, 12:58 PM GMT+9",markerikson,https://github.com/markerikson/react-redux-links,https://avatars.githubusercontent.com/u/1128784?s=48&v=4
generator-jhipster,"3,996","21,215",723,"Apr 19, 2024, 5:31 PM GMT+9",jhipster,https://github.com/jhipster/generator-jhipster,https://avatars.githubusercontent.com/u/6059488?s=48&v=4
js-stack-from-scratch,"1,997","20,044",589,"Nov 1, 2022, 12:50 PM GMT+9",verekia,https://github.com/verekia/js-stack-from-scratch,https://avatars.githubusercontent.com/u/522007?s=48&v=4
mojs,893,"18,252",394,"Mar 14, 2024, 3:15 AM GMT+9",mojs,https://github.com/mojs/mojs,https://avatars.githubusercontent.com/u/9039853?s=48&v=4
ice,"2,086","17,770",441,"Apr 8, 2024, 7:41 PM GMT+9",alibaba,https://github.com/alibaba/ice,https://avatars.githubusercontent.com/u/1961952?s=48&v=4
react-loadable,780,"16,595",145,"Mar 4, 2020, 2:55 AM GMT+9",jamiebuilds,https://github.com/jamiebuilds/react-loadable,https://avatars.githubusercontent.com/u/952783?s=48&v=4
electron-vue,"1,543","15,442",251,"Apr 21, 2021, 11:20 PM GMT+9",SimulatedGREG,https://github.com/SimulatedGREG/electron-vue,https://avatars.githubusercontent.com/u/8327811?s=48&v=4
front-end-guide,"1,124","15,080",480,"Nov 14, 2018, 12:04 AM GMT+9",grab,https://github.com/grab/front-end-guide,https://avatars.githubusercontent.com/u/17284363?s=48&v=4
webpack-dashboard,364,"13,874",197,"May 18, 2023, 11:55 PM GMT+9",FormidableLabs,https://github.com/FormidableLabs/webpack-dashboard,https://avatars.githubusercontent.com/u/5078602?s=48&v=4
vue2-manage,"4,314","13,272",432,"Apr 29, 2021, 6:49 PM GMT+9",bailicangdu,https://github.com/bailicangdu/vue2-manage,https://avatars.githubusercontent.com/u/20297227?s=48&v=4
webpack-bundle-analyzer,476,"12,496",99,"Apr 11, 2024, 8:52 PM GMT+9",webpack-contrib,https://github.com/webpack-contrib/webpack-bundle-analyzer,https://avatars.githubusercontent.com/u/25012217?s=48&v=4
razzle,878,"11,090",120,"Oct 26, 2022, 6:09 AM GMT+9",jaredpalmer,https://github.com/jaredpalmer/razzle,https://avatars.githubusercontent.com/u/4060187?s=48&v=4
html-webpack-plugin,"1,310","10,635",121,"Feb 6, 2024, 1:45 AM GMT+9",jantimon,https://github.com/jantimon/html-webpack-plugin,https://avatars.githubusercontent.com/u/4113649?s=48&v=4
