title,fork,stars,watch,recent_time,writer,url,img
flutter,"26,550","161,661","3,533","Apr 19, 2024, 6:08 PM GMT+9",flutter,https://github.com/flutter/flutter,https://avatars.githubusercontent.com/u/14101776?s=48&v=4
rustdesk,"6,813","62,562",438,"Apr 19, 2024, 3:35 PM GMT+9",rustdesk,https://github.com/rustdesk/rustdesk,https://avatars.githubusercontent.com/u/71636191?s=48&v=4
awesome-flutter,"6,549","51,181","1,572","Apr 18, 2024, 12:13 AM GMT+9",Solido,https://github.com/Solido/awesome-flutter,https://avatars.githubusercontent.com/u/1295961?s=48&v=4
AppFlowy,"3,151","48,564",333,"Apr 18, 2024, 9:52 PM GMT+9",AppFlowy-IO,https://github.com/AppFlowy-IO/AppFlowy,https://avatars.githubusercontent.com/u/86002201?s=48&v=4
appwrite,"3,691","40,910",374,"Apr 18, 2024, 5:10 AM GMT+9",appwrite,https://github.com/appwrite/appwrite,https://avatars.githubusercontent.com/u/25003669?s=48&v=4
open-source-ios-apps,"5,302","40,010","1,444","Apr 19, 2024, 12:58 AM GMT+9",dkhamsing,https://github.com/dkhamsing/open-source-ios-apps,https://avatars.githubusercontent.com/u/4723115?s=48&v=4
localsend,"1,769","34,722",146,"Apr 18, 2024, 5:16 AM GMT+9",localsend,https://github.com/localsend/localsend,https://avatars.githubusercontent.com/u/120677616?s=48&v=4
immich,"1,378","30,215",111,"Apr 19, 2024, 11:55 AM GMT+9",immich-app,https://github.com/immich-app/immich,https://avatars.githubusercontent.com/u/109746326?s=48&v=4
spotube,971,"24,204",108,"Apr 15, 2024, 10:41 PM GMT+9",KRTirtho,https://github.com/KRTirtho/spotube,https://avatars.githubusercontent.com/u/61944859?s=48&v=4
NativeScript,"1,640","23,637",656,"Apr 17, 2024, 3:30 AM GMT+9",NativeScript,https://github.com/NativeScript/NativeScript,https://avatars.githubusercontent.com/u/7392261?s=48&v=4
flutter-go,"3,783","23,564",655,"Oct 13, 2020, 5:01 PM GMT+9",alibaba,https://github.com/alibaba/flutter-go,https://avatars.githubusercontent.com/u/1961952?s=48&v=4
FlutterExampleApps,"3,715","19,938",953,"May 27, 2020, 3:49 PM GMT+9",iampawan,https://github.com/iampawan/FlutterExampleApps,https://avatars.githubusercontent.com/u/12619420?s=48&v=4
Best-Flutter-UI-Templates,"4,398","19,568",521,"Jun 3, 2023, 7:48 PM GMT+9",mitesh77,https://github.com/mitesh77/Best-Flutter-UI-Templates,https://avatars.githubusercontent.com/u/38649435?s=48&v=4
plugins,"9,856","17,312",536,"Feb 22, 2023, 9:22 AM GMT+9",flutter,https://github.com/flutter/plugins,https://avatars.githubusercontent.com/u/14101776?s=48&v=4
MMKV,"1,857","16,797",281,"Mar 19, 2024, 10:40 AM GMT+9",Tencent,https://github.com/Tencent/MMKV,https://avatars.githubusercontent.com/u/18461506?s=48&v=4
revanced-manager,676,"15,529",183,"Apr 5, 2024, 11:52 AM GMT+9",ReVanced,https://github.com/ReVanced/revanced-manager,https://avatars.githubusercontent.com/u/101597779?s=48&v=4
gsy_github_app_flutter,"2,534","14,585",329,"Mar 19, 2024, 5:30 PM GMT+9",CarGuo,https://github.com/CarGuo/gsy_github_app_flutter,https://avatars.githubusercontent.com/u/10770362?s=48&v=4
gopeed,982,"13,355",149,"Apr 12, 2024, 3:45 PM GMT+9",GopeedLab,https://github.com/GopeedLab/gopeed,https://avatars.githubusercontent.com/u/125134399?s=48&v=4
dio,"1,479","12,206",167,"Apr 19, 2024, 12:04 AM GMT+9",cfug,https://github.com/cfug/dio,https://avatars.githubusercontent.com/u/44133785?s=48&v=4
bloc,"3,359","11,377",176,"Apr 18, 2024, 12:54 PM GMT+9",felangel,https://github.com/felangel/bloc,https://avatars.githubusercontent.com/u/8855632?s=48&v=4
