title,fork,stars,watch,recent_time,writer,url
system-design-primer,"43,324","253,143","6,606","Mar 16, 2023, 6:58 PM GMT+9",donnemartin,https://github.com/donnemartin/system-design-primer
awesome-python,"24,486","204,503","5,980","Apr 15, 2024, 8:17 PM GMT+9",vinta,https://github.com/vinta/awesome-python
tensorflow,"73,879","182,319","7,641","Apr 19, 2024, 12:28 AM GMT+9",tensorflow,https://github.com/tensorflow/tensorflow
Python,"43,589","179,148","5,938","Apr 16, 2024, 5:21 AM GMT+9",TheAlgorithms,https://github.com/TheAlgorithms/Python
CS-Notes,"50,754","172,154","5,330","Jul 20, 2023, 12:02 PM GMT+9",CyC2018,https://github.com/CyC2018/CS-Notes
project-based-learning,"22,075","166,921","2,732","Mar 21, 2023, 7:24 PM GMT+9",practical-tutorials,https://github.com/practical-tutorials/project-based-learning
AutoGPT,"41,932","161,043","1,567","Apr 16, 2024, 5:38 PM GMT+9",Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT
transformers,"24,703","124,535","1,092","Apr 19, 2024, 12:18 AM GMT+9",huggingface,https://github.com/huggingface/transformers
30-seconds-of-code,"11,847","119,033","2,578","Apr 16, 2024, 4:43 AM GMT+9",Chalarangelo,https://github.com/Chalarangelo/30-seconds-of-code
free-programming-books-zh_CN,"28,078","109,067","5,907","Nov 5, 2018, 2:21 PM GMT+9",justjavac,https://github.com/justjavac/free-programming-books-zh_CN
HelloGitHub,"9,429","84,614","2,948","Mar 28, 2024, 12:32 PM GMT+9",521xueweihan,https://github.com/521xueweihan/HelloGitHub
thefuck,"3,396","82,697",839,"Jan 3, 2022, 7:17 AM GMT+9",nvbn,https://github.com/nvbn/thefuck
pytorch,"20,989","77,637","1,697","Apr 19, 2024, 12:21 AM GMT+9",pytorch,https://github.com/pytorch/pytorch
django,"30,726","76,660","2,306","Apr 18, 2024, 12:38 AM GMT+9",django,https://github.com/django/django
fastapi,"5,927","70,681",664,"Apr 7, 2024, 12:44 AM GMT+9",tiangolo,https://github.com/tiangolo/fastapi
yt-dlp,"5,575","70,135",445,"Apr 14, 2024, 1:40 AM GMT+9",yt-dlp,https://github.com/yt-dlp/yt-dlp
core,"27,904","68,461","1,343","Apr 12, 2024, 8:22 PM GMT+9",home-assistant,https://github.com/home-assistant/core
ML-For-Beginners,"13,541","66,802",999,"Feb 20, 2024, 1:39 PM GMT+9",microsoft,https://github.com/microsoft/ML-For-Beginners
flask,"15,917","66,293","2,127","Apr 9, 2024, 7:29 AM GMT+9",pallets,https://github.com/pallets/flask
devops-exercises,"13,864","63,286","1,180","Feb 2, 2024, 10:29 PM GMT+9",bregman-arie,https://github.com/bregman-arie/devops-exercises
