title,fork,stars,watch,recent_time,writer,url
tensorflow,"73,873","182,300","7,641","Apr 18, 2024, 1:15 PM GMT+9",tensorflow,https://github.com/tensorflow/tensorflow
CS-Notes,"50,747","172,136","5,330","Jul 20, 2023, 12:02 PM GMT+9",CyC2018,https://github.com/CyC2018/CS-Notes
Python,"43,573","179,083","5,937","Apr 16, 2024, 5:21 AM GMT+9",TheAlgorithms,https://github.com/TheAlgorithms/Python
system-design-primer,"43,311","253,063","6,609","Mar 16, 2023, 6:58 PM GMT+9",donnemartin,https://github.com/donnemartin/system-design-primer
AutoGPT,"41,912","161,016","1,567","Apr 16, 2024, 5:38 PM GMT+9",Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT
django,"30,724","76,655","2,306","Apr 18, 2024, 12:38 AM GMT+9",django,https://github.com/django/django
free-programming-books-zh_CN,"28,076","109,059","5,906","Jan 22, 2024, 9:24 AM GMT+9",justjavac,https://github.com/justjavac/free-programming-books-zh_CN
spark,"27,927","38,298","2,032","Apr 18, 2024, 4:05 PM GMT+9",apache,https://github.com/apache/spark
core,"27,900","68,453","1,343","Apr 18, 2024, 10:47 AM GMT+9",home-assistant,https://github.com/home-assistant/core
scikit-learn,"24,969","58,030","2,140","Apr 18, 2024, 12:53 AM GMT+9",scikit-learn,https://github.com/scikit-learn/scikit-learn
transformers,"24,695","124,498","1,092","Apr 18, 2024, 6:08 AM GMT+9",huggingface,https://github.com/huggingface/transformers
awesome-python,"24,474","204,447","5,981","Apr 15, 2024, 8:17 PM GMT+9",vinta,https://github.com/vinta/awesome-python
ansible,"23,673","61,070","1,920","Apr 18, 2024, 7:08 AM GMT+9",ansible,https://github.com/ansible/ansible
odoo,"22,510","34,405","1,503","Apr 18, 2024, 9:32 AM GMT+9",odoo,https://github.com/odoo/odoo
project-based-learning,"22,057","166,765","2,727","Mar 21, 2023, 7:24 PM GMT+9",practical-tutorials,https://github.com/practical-tutorials/project-based-learning
pytorch,"20,983","77,620","1,696","Apr 18, 2024, 3:36 PM GMT+9",pytorch,https://github.com/pytorch/pytorch
keras,"19,338","60,901","1,907","Apr 18, 2024, 1:02 PM GMT+9",keras-team,https://github.com/keras-team/keras
PythonDataScienceHandbook,"17,520","41,400","1,779","May 6, 2023, 8:20 AM GMT+9",jakevdp,https://github.com/jakevdp/PythonDataScienceHandbook
pandas,"17,305","41,887","1,116","Apr 18, 2024, 9:02 AM GMT+9",pandas-dev,https://github.com/pandas-dev/pandas
py,"16,585","6,625",332,"Jan 10, 2023, 6:37 AM GMT+9",codebasics,https://github.com/codebasics/py
