title,fork,stars,recent_time,number_of_commit
tensorflow,"73,868","182,280","Apr 17, 2024, 8:27 PM GMT+9","163,045"
CS-Notes,"50,748","172,101","Jul 20, 2023, 12:02 PM GMT+9","3,781"
Python,"43,505","178,816","Apr 16, 2024, 5:21 AM GMT+9","3,331"
system-design-primer,"43,281","252,919","Mar 16, 2023, 6:58 PM GMT+9",329
AutoGPT,"41,881","160,967","Apr 16, 2024, 5:38 PM GMT+9","5,234"
django,"30,712","76,644","Apr 17, 2024, 1:11 AM GMT+9","32,572"
free-programming-books-zh_CN,"28,076","109,049","Jan 22, 2024, 9:24 AM GMT+9",924
spark,"27,925","38,292","Apr 17, 2024, 7:16 PM GMT+9","40,591"
core,"27,891","68,431","Apr 17, 2024, 8:23 PM GMT+9","75,927"
scikit-learn,"24,968","58,022","Apr 17, 2024, 7:10 PM GMT+9","31,213"
transformers,"24,687","124,462","Apr 17, 2024, 7:19 PM GMT+9","15,620"
awesome-python,"24,464","204,356","Apr 15, 2024, 8:17 PM GMT+9","1,673"
ansible,"23,671","61,066","Apr 17, 2024, 2:13 AM GMT+9","54,353"
odoo,"22,507","34,386","Apr 17, 2024, 5:01 PM GMT+9","170,701"
project-based-learning,"22,022","166,609","Mar 21, 2023, 7:24 PM GMT+9",570
pytorch,"20,979","77,596","Apr 17, 2024, 8:31 PM GMT+9","71,851"
keras,"19,336","60,892","Apr 17, 2024, 12:54 PM GMT+9","10,556"
PythonDataScienceHandbook,"17,516","41,389","May 6, 2023, 8:20 AM GMT+9",235
pandas,"17,301","41,879","Apr 17, 2024, 3:49 AM GMT+9","34,753"
py,"16,586","6,623","Jan 10, 2023, 6:37 AM GMT+9",361
