title,fork,stars,recent_time,number_of_commit
system-design-primer,"43,281","252,919","Mar 16, 2023, 6:58 PM GMT+9",329
awesome-python,"24,465","204,357","Apr 15, 2024, 8:17 PM GMT+9","1,673"
tensorflow,"73,870","182,282","Apr 17, 2024, 8:27 PM GMT+9","163,045"
Python,"43,506","178,818","Apr 16, 2024, 5:21 AM GMT+9","3,331"
CS-Notes,"50,750","172,104","Jul 20, 2023, 12:02 PM GMT+9","3,781"
project-based-learning,"22,023","166,612","Mar 21, 2023, 7:24 PM GMT+9",570
AutoGPT,"41,882","160,968","Apr 16, 2024, 5:38 PM GMT+9","5,234"
transformers,"24,687","124,462","Apr 17, 2024, 7:19 PM GMT+9","15,620"
30-seconds-of-code,"11,848","119,011","Apr 16, 2024, 4:43 AM GMT+9","8,885"
free-programming-books-zh_CN,"28,076","109,049","Jan 22, 2024, 9:24 AM GMT+9",924
HelloGitHub,"9,427","84,571","Mar 28, 2024, 12:32 PM GMT+9",183
thefuck,"3,395","82,679","Jan 26, 2024, 4:52 AM GMT+9","1,651"
pytorch,"20,979","77,597","Apr 17, 2024, 8:31 PM GMT+9","71,851"
django,"30,712","76,645","Apr 17, 2024, 1:11 AM GMT+9","32,572"
fastapi,"5,923","70,633","Apr 7, 2024, 12:44 AM GMT+9","4,179"
yt-dlp,"5,564","70,059","Apr 14, 2024, 1:40 AM GMT+9","22,435"
core,"27,891","68,431","Apr 17, 2024, 8:23 PM GMT+9","75,927"
ML-For-Beginners,"13,537","66,782","Feb 20, 2024, 1:39 PM GMT+9","1,636"
flask,"15,913","66,273","Apr 9, 2024, 7:29 AM GMT+9","5,264"
devops-exercises,"13,853","63,257","Feb 2, 2024, 10:29 PM GMT+9",744
