title,time,writer,votes,answers,views,url,img
Sequential source switching using structured streaming,29 mins ago,Elie Azoury,1,0,24,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=32
How to configure the GCS Spark connector to work with two different GCS buckets from two different projects?,1 hour ago,OBelin,2,1,225,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/b0819edf1a85c583a36317b4d0fd41a3?s=32&d=identicon&r=PG&f=y&so-version=2
How to achieve Column mapping just like in ADF in Databricks,1 hour ago,Samuel Demir,0,2,47,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/N4sBn.jpg?s=32&g=1
How to retrive the column in a text using pyspark,1 hour ago,s.polam,0,2,31,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/b05339e2a8b9642e7e1941320145b637?s=32&d=identicon&r=PG&f=y&so-version=2
Problem Could not find any valid local directory for s3ablock-0001-,2 hours ago,aykcandem,6,4,9k,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/bwVGv.png?s=32&g=1
Merge two columns which conatins array of values and create one column in scala?,3 hours ago,s.polam,-1,1,36,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/b05339e2a8b9642e7e1941320145b637?s=32&d=identicon&r=PG&f=y&so-version=2
Livy Service is getting stopped frequently in between,3 hours ago,Mr.Robot,-1,0,5,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/06af70a5ded49cbb62639a6b29639944?s=32&d=identicon&r=PG&f=y&so-version=2
how the spark read one large splittable file? (logical block and physical block),3 hours ago,matdulgi,0,0,14,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/d79502b950379e1cc464e8f74c445229?s=32&d=identicon&r=PG
Spark: What is the difference between repartition and repartitionByRange?,4 hours ago,Michael Heil,18,2,19k,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/CQcCI.jpg?s=32&g=1
PySpark withColumn() function doesn't recognize hierarchical structure,7 hours ago,Derek O,1,1,36,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://lh5.googleusercontent.com/-ggEwOMwayyc/AAAAAAAAAAI/AAAAAAAAAJU/pWb_XXiUuFI/photo.jpg?sz=32
How to do not null check for columns in scala dataframe in an effective way?,7 hours ago,Gastón Schabas,0,1,28,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://lh5.googleusercontent.com/-xe-rKubDCeg/AAAAAAAAAAI/AAAAAAAAALQ/OmUxxZwJndU/photo.jpg?sz=32
"""file or directory is not a reparse point"" in a network drive -- pyspark run locally on windows",8 hours ago,Ken White,0,0,21,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/15264f7bf48e10ce32dfa4865a13763c?s=32&d=identicon&r=PG
Spark custom encoder for dataframe,8 hours ago,Jason Aller,1,0,2k,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/61025b3df4700620a5d9099293f23a5d?s=32&d=identicon&r=PG
"Spark recommends listing Spark and Hadoop dependencies as provided in the docs, is this strictly required?",10 hours ago,stantonk,0,0,7,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://graph.facebook.com/537208670/picture?type=large
How to update value inside a nested array in spark,11 hours ago,user2314737,3,1,43,https://stackoverflow.com/questions/tagged/apache-spark?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/RF6KX.jpg?s=32&g=1
