title,time,writer,votes,answers,views,url,img
Segmentation fault on priting a string in machine code,15 mins ago,Charlie_23,0,0,3,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/d9d91b7399d528486645f965dabf125e?s=32&d=identicon&r=PG&f=y&so-version=2
I am trying to create a reverse shell using ROP chains by injecting the objdump from the .obj but it does not connect,32 mins ago,xler,0,0,4,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/c0b7e88961547347ac0c2bef2139e0c5?s=32&d=identicon&r=PG&f=y&so-version=2
Debugging a Multicore Kernel Initialization on Raspberry Pi 3B,2 hours ago,Diego A Wearden,1,0,23,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/7b6e9cb515b0356ed2489927e146737d?s=32&d=identicon&r=PG&f=y&so-version=2
What's the best way to remember the x86-64 System V arg register order?,2 hours ago,nandkeypull,5,2,688,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/e643159ca093f1906a78847000ea6215?s=32&d=identicon&r=PG&f=y&so-version=2
How to Resolve Incorrect Output in 64-bit by 64-bit Assembly Multiplication,2 hours ago,RannySpin,0,0,32,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/aa1453329b769f30fb95733643c32f3f?s=32&d=identicon&r=PG&f=y&so-version=2
How exactly do compilers convert AST to assembly instructions [closed],4 hours ago,NotAidan,0,1,74,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a-/AOh14GiBjoOpWRaHUr8AjPCtHiRG3k3s6V3dc2T_rNeN=k-s32
Does rsp stack pointer has any use in returning a value of a function call?,6 hours ago,phuclv,0,1,92,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/w1393.jpg?s=32&g=1
subwfb in PIC 18F8722 Assembly,13 hours ago,user35443,2,1,1k,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/bfdd441256ea9a01f14bb8894b31862f?s=32&d=identicon&r=PG
MIPS array loop assignment,14 hours ago,chip chip,0,0,15,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/d1aa38474f7e199aa0c4497a7e995542?s=32&d=identicon&r=PG&f=y&so-version=2
infinite loop with LC-3 assignment,17 hours ago,Erik Eidt,0,0,25,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/CS444.jpg?s=32&g=1
MASM x86 program keeps printing error message,18 hours ago,zuo hao,-2,0,25,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/2dda9df7952325a34b37016f3d364df9?s=32&d=identicon&r=PG&f=y&so-version=2
Title: How to output changed registers and ESP in red color after each `p` command in Windbg using JavaScript?,18 hours ago,kiddo,0,0,18,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a-/ACNPEu9EzPQeGO-J130tyfsS4H7jG7xNH4Zseqt3weJy=k-s32
the variable does not enter the loop,22 hours ago,Lundin,0,0,54,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/RZLo7.png?s=32&g=1
Unhandled exception at 0x0056FC80 in Assignment7.exe: 0xC0000005: Access violation executing location 0x0056FC80,23 hours ago,Michael Petch,0,0,23,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/hXLnN.jpg?s=32&g=1
Bad perfermance of conditionnal instrunctions,yesterday,shao nian,0,0,23,https://stackoverflow.com/questions/tagged/Assembly?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a/ACg8ocLKih-P__YXZgRINq0DOsCJJcBFD_Lh-KaNMbR34NqP=k-s32
