title,time,writer,votes,answers,views,url,img
How to use build number as part of INF driverVer,1 hour ago,Miao Tian-MSFT,1,2,27,https://stackoverflow.com/questions/78360669/how-to-use-build-number-as-part-of-inf-driverver,https://www.gravatar.com/avatar/45e63ba50e91e10ebeabacea930c981a?s=32&d=identicon&r=PG&f=y&so-version=2
Get function key (name) used when calling Azure Function,1 hour ago,CajunCoding,6,3,3k,https://stackoverflow.com/questions/58819758/get-function-key-name-used-when-calling-azure-function,https://www.gravatar.com/avatar/3325210485db1705301ed03b6ee2579b?s=32&d=identicon&r=PG&f=y&so-version=2
How to extract all PowerBI users and workspace access using the PowerBI API or Azure Portal?,1 hour ago,Pat,0,3,27k,https://stackoverflow.com/questions/54702764/how-to-extract-all-powerbi-users-and-workspace-access-using-the-powerbi-api-or-a,https://graph.facebook.com/10156380201368638/picture?type=large
Azure pipeline set npm version variable and use in Git tag,2 hours ago,Kevin Lu-MSFT,0,2,22,https://stackoverflow.com/questions/78358335/azure-pipeline-set-npm-version-variable-and-use-in-git-tag,https://www.gravatar.com/avatar/d7c4aea6ed2bb2469b7722ba76f0e010?s=32&d=identicon&r=PG&f=y&so-version=2
"Azure and VSTO Addin - Could not load file or assembly 'System.Diagnostics.DiagnosticSource, Version=6.0.0.0,",2 hours ago,Sean Castle,0,0,14,https://stackoverflow.com/questions/78363642/azure-and-vsto-addin-could-not-load-file-or-assembly-system-diagnostics-diagn,https://www.gravatar.com/avatar/006cec4166694f28ca987fecf062f46f?s=32&d=identicon&r=PG&f=y&so-version=2
"If I am chunking and vectorizing content into Azure AI Search do I create a new item for each embedding, won't I have duplicate documents?",3 hours ago,Sampath,0,0,15,https://stackoverflow.com/questions/78362881/if-i-am-chunking-and-vectorizing-content-into-azure-ai-search-do-i-create-a-new,https://www.gravatar.com/avatar/88294c586a792e7c4bc1c56d97f32f5a?s=32&d=identicon&r=PG
"EC key instead of RSA key generated when using ""bootstrap_identity""",3 hours ago,Sampath,1,0,23,https://stackoverflow.com/questions/78353606/ec-key-instead-of-rsa-key-generated-when-using-bootstrap-identity,https://www.gravatar.com/avatar/88294c586a792e7c4bc1c56d97f32f5a?s=32&d=identicon&r=PG
403 Exception trying to read file in Azure Blob,3 hours ago,Architect Jamie,0,1,31,https://stackoverflow.com/questions/78363041/403-exception-trying-to-read-file-in-azure-blob,https://www.gravatar.com/avatar/52d42727d797bf17bb06315f9c3fb7db?s=32&d=identicon&r=PG&f=y&so-version=2
Setup RDS in Azure using VPN Or Gateway? [closed],8 hours ago,Architect Jamie,0,1,11,https://stackoverflow.com/questions/78362778/setup-rds-in-azure-using-vpn-or-gateway,https://www.gravatar.com/avatar/52d42727d797bf17bb06315f9c3fb7db?s=32&d=identicon&r=PG&f=y&so-version=2
How to convert AppSettings.json to Advance Azure Settings with C#?,8 hours ago,Lalit Rajput,6,4,4k,https://stackoverflow.com/questions/57315514/how-to-convert-appsettings-json-to-advance-azure-settings-with-c,https://i.stack.imgur.com/zc1wx.png?s=32&g=1
Not able to get my env variable in lib folder in next js 14 using app router,9 hours ago,Architect Jamie,0,1,22,https://stackoverflow.com/questions/78361414/not-able-to-get-my-env-variable-in-lib-folder-in-next-js-14-using-app-router,https://www.gravatar.com/avatar/52d42727d797bf17bb06315f9c3fb7db?s=32&d=identicon&r=PG&f=y&so-version=2
How can I generate and serve a file from webroot with Azure App Service?,10 hours ago,Architect Jamie,0,1,14,https://stackoverflow.com/questions/78362484/how-can-i-generate-and-serve-a-file-from-webroot-with-azure-app-service,https://www.gravatar.com/avatar/52d42727d797bf17bb06315f9c3fb7db?s=32&d=identicon&r=PG&f=y&so-version=2
How can I export Azure SQL Managed Instance database to Azure storage using a script?,11 hours ago,alper,0,1,34,https://stackoverflow.com/questions/78361618/how-can-i-export-azure-sql-managed-instance-database-to-azure-storage-using-a-sc,https://i.stack.imgur.com/6XXt5.jpg?s=32&g=1
Deployment in progress,11 hours ago,Pravallika KV,0,1,41,https://stackoverflow.com/questions/78359495/deployment-in-progress,https://i.stack.imgur.com/40ftk.jpg?s=32&g=1
Restricting User Access to Specific AAD Actions Using Conditional Access in Microsoft Entra ID,11 hours ago,Architect Jamie,0,1,21,https://stackoverflow.com/questions/78360710/restricting-user-access-to-specific-aad-actions-using-conditional-access-in-micr,https://www.gravatar.com/avatar/52d42727d797bf17bb06315f9c3fb7db?s=32&d=identicon&r=PG&f=y&so-version=2
