title,time,writer,votes,answers,views,url,img
"Cannot import ES modules with ""node"" command in my Nuxt project",7 hours ago,kissu,3,1,2k,https://stackoverflow.com/questions/66735144/cannot-import-es-modules-with-node-command-in-my-nuxt-project,https://www.gravatar.com/avatar/912aefa00ffe1fb9c545399984c42b97?s=32&d=identicon&r=PG
ternary expression breaks in babel/webpack vue3,8 hours ago,kissu,1,1,434,https://stackoverflow.com/questions/71919249/ternary-expression-breaks-in-babel-webpack-vue3,https://www.gravatar.com/avatar/912aefa00ffe1fb9c545399984c42b97?s=32&d=identicon&r=PG
React not picking up @babel/preset-react or @babel/plugin-syntax-jsx,8 hours ago,Lauren G,0,0,4,https://stackoverflow.com/questions/78363061/react-not-picking-up-babel-preset-react-or-babel-plugin-syntax-jsx,https://lh3.googleusercontent.com/a-/AOh14Ghj3JQUxtvAWUrmTb8hrZulSqqgWoKXQNEfXnVagWo=k-s32
How do I install node module @babel/plugin-transform-class-properties?,23 hours ago,NotTheDr01ds,17,4,21k,https://stackoverflow.com/questions/53529394/how-do-i-install-node-module-babel-plugin-transform-class-properties,https://i.stack.imgur.com/Q1NFZ.png?s=32&g=1
Nuxt js/Babel `SyntaxError: Unexpected keyword 'const'. Const declarations are not supported in strict mode.`,yesterday,kissu,1,1,336,https://stackoverflow.com/questions/68973644/nuxt-js-babel-syntaxerror-unexpected-keyword-const-const-declarations-are-n,https://www.gravatar.com/avatar/912aefa00ffe1fb9c545399984c42b97?s=32&d=identicon&r=PG
node's root directory is inside node_modules,2 days ago,iamnotpotter,0,0,16,https://stackoverflow.com/questions/78356666/nodes-root-directory-is-inside-node-modules,https://lh3.googleusercontent.com/a-/AOh14GhG94o1erF3jS50jyhMtu4t14S8xuj4nJQwygvDuw=k-s32
Configuring Babel with Yarn Workspaces in React Native: Issues with babelrcRoots Configuration,2 days ago,MikeL,0,0,14,https://stackoverflow.com/questions/78352943/configuring-babel-with-yarn-workspaces-in-react-native-issues-with-babelrcroots,https://i.stack.imgur.com/mpOPv.png?s=32&g=1
React Monorepo - Babel complaining about jsx not being enabled,Apr 18 at 18:17,Aaron,0,0,14,https://stackoverflow.com/questions/78349552/react-monorepo-babel-complaining-about-jsx-not-being-enabled,https://lh5.googleusercontent.com/-Ki9eef_icH0/AAAAAAAAAAI/AAAAAAAAAbc/AsaydcTQl80/photo.jpg?sz=32
"Babel/Parcel throwing ""This experimental syntax requires enabling the parser plugin: 'optionalChaining'"" on build - ReactFlow",Apr 18 at 5:17,jed101,0,0,11,https://stackoverflow.com/questions/78345012/babel-parcel-throwing-this-experimental-syntax-requires-enabling-the-parser-plu,https://www.gravatar.com/avatar/bf8d342ee3ca03e8377f58f9c87fd38e?s=32&d=identicon&r=PG&f=y&so-version=2
jest ignore all node_modules except 1 package,Apr 17 at 19:54,Amir M. Mohamadi,12,1,29k,https://stackoverflow.com/questions/58086182/jest-ignore-all-node-modules-except-1-package,https://i.stack.imgur.com/BbmH1.png?s=32&g=1
Alternative of Object.assign(...array),Apr 17 at 18:21,Christiyan,35,4,111k,https://stackoverflow.com/questions/38985624/alternative-of-object-assign-array,https://i.stack.imgur.com/CeE42.jpg?s=32&g=1
Error installing uiautomator2 driver with Appium,Apr 17 at 11:27,sumit koli,1,5,20k,https://stackoverflow.com/questions/73193949/error-installing-uiautomator2-driver-with-appium,https://www.gravatar.com/avatar/4ee0943a163b11ab235ecf4b06557ee2?s=32&d=identicon&r=PG&f=y&so-version=2
"babel-preset-react-app, is importing the ""@babel/plugin-proposal-private-property-in-object"" package without declaring it in its dependencies",Apr 17 at 9:08,Monstar,123,27,192k,https://stackoverflow.com/questions/76435306/babel-preset-react-app-is-importing-the-babel-plugin-proposal-private-propert,https://i.stack.imgur.com/isToG.png?s=32&g=1
"Fix Babel ""regeneratorRuntime not defined"" without creating import",Apr 17 at 6:12,dturnschek,0,0,8,https://stackoverflow.com/questions/78338712/fix-babel-regeneratorruntime-not-defined-without-creating-import,https://www.gravatar.com/avatar/53ed3c02aa5fac5384fe905377fab887?s=32&d=identicon&r=PG
Webpack changes js class Names,Apr 16 at 13:55,Andrey RF,0,1,11,https://stackoverflow.com/questions/78334783/webpack-changes-js-class-names,https://lh3.googleusercontent.com/-fiYnK8qEkDQ/AAAAAAAAAAI/AAAAAAAAAuw/5wSg7s6Ut7g/photo.jpg?sz=32
