title,time,writer,votes,answers,views,url,img
Error: cannot estimate gas; transaction may fail or may require manual gas limit SERVER_ERROR,3 hours ago,ahuemmer,0,1,55,https://stackoverflow.com/questions/77623449/error-cannot-estimate-gas-transaction-may-fail-or-may-require-manual-gas-limit,https://www.gravatar.com/avatar/1a5a9ac208afadfbbf87dbb93d5ac3c9?s=32&d=identicon&r=PG&f=y&so-version=2
Implementing Blockchain in Fanet to Restrict UAV Access to Restricted Zones,8 hours ago,xsraB,0,0,8,https://stackoverflow.com/questions/78362995/implementing-blockchain-in-fanet-to-restrict-uav-access-to-restricted-zones,https://lh3.googleusercontent.com/a/ALm5wu2Bx9GR_P7N98B9eiXF7xi57oxZJw8-ch4Gn-s=k-s32
How to Retrieve and Display Rune Token Data from the Bitcoin Blockchain Using PHP? [closed],10 hours ago,Zoltan,-2,0,21,https://stackoverflow.com/questions/78362661/how-to-retrieve-and-display-rune-token-data-from-the-bitcoin-blockchain-using-ph,https://graph.facebook.com/10153880983565816/picture?type=large
Ethereum retrieve transaction status without receipt,13 hours ago,Susan Rebecca,-1,1,236,https://stackoverflow.com/questions/75894050/ethereum-retrieve-transaction-status-without-receipt,https://lh3.googleusercontent.com/a/ACg8ocKF3gP3l2UJYN-Ma3PdMuH9z2SVxm8Hh_f5HjenCac7vTuMZaE=k-s32
How do i get a list of coins listed on a DEX recently sorted by unique number of wallet addresses [closed],yesterday,jkr,-1,0,19,https://stackoverflow.com/questions/78359355/how-do-i-get-a-list-of-coins-listed-on-a-dex-recently-sorted-by-unique-number-of,https://www.gravatar.com/avatar/14dc56869949db4964855de7a4795e09?s=32&d=identicon&r=PG
Solana blockchain: query historical token holdings for an address,yesterday,granddemon,0,0,6,https://stackoverflow.com/questions/78360347/solana-blockchain-query-historical-token-holdings-for-an-address,https://www.gravatar.com/avatar/be542d4bca05eb3a2889eb918dbe00d1?s=32&d=identicon&r=PG
VM Exception while processing transaction: invalid opcode OR the EVM version used by the selected environment is not compatible,yesterday,Drew Reese,0,0,11,https://stackoverflow.com/questions/78357354/vm-exception-while-processing-transaction-invalid-opcode-or-the-evm-version-use,https://lh6.googleusercontent.com/-47_HcdolAr0/AAAAAAAAAAI/AAAAAAAAB30/lD6xAXOWlu4/photo.jpg?sz=32
"Error installing eth-brownie with pipx: ""No Python at: <Location of Old Python Installation>""",yesterday,Kyan,2,2,740,https://stackoverflow.com/questions/71651611/error-installing-eth-brownie-with-pipx-no-python-at-location-of-old-python-i,https://www.gravatar.com/avatar/2c72d23f1fb2385ba82705692af62384?s=32&d=identicon&r=PG
Unable to send internal message with UTF-8 comment in FunC (TVM exit code 9),2 days ago,staffchik2596,0,0,8,https://stackoverflow.com/questions/78354769/unable-to-send-internal-message-with-utf-8-comment-in-func-tvm-exit-code-9,https://www.gravatar.com/avatar/ac92aaca908c38ba25e809df0d6b6f19?s=32&d=identicon&r=PG&f=y&so-version=2
How to get dex transaction data like dextools or dexscreener,2 days ago,FrackinFamous,3,4,10k,https://stackoverflow.com/questions/72305355/how-to-get-dex-transaction-data-like-dextools-or-dexscreener,https://lh3.googleusercontent.com/a/ALm5wu2YOpohEDN6q7ypOGr-OfONr7vosn0Lz8cwHsh_=k-s32
Insufficient funds error during Solana transaction via Jupiter API despite adequate balance,2 days ago,Brian Tompsett - 汤莱恩,1,0,39,https://stackoverflow.com/questions/78353570/insufficient-funds-error-during-solana-transaction-via-jupiter-api-despite-adequ,https://i.stack.imgur.com/UcQgO.jpg?s=32&g=1
Hyperledger Fabric Error on Creating channel,2 days ago,Nebulak,1,1,114,https://stackoverflow.com/questions/76400568/hyperledger-fabric-error-on-creating-channel,https://www.gravatar.com/avatar/c8c02c349622b8b76a2d348f5ca7800f?s=32&d=identicon&r=PG&f=y&so-version=2
no scripts folder in hardhat framework instead there's ignition folder with a subfolder named modules,Apr 18 at 22:06,Grace Nguyen,2,2,224,https://stackoverflow.com/questions/78192443/no-scripts-folder-in-hardhat-framework-instead-theres-ignition-folder-with-a-su,https://www.gravatar.com/avatar/d9de917e89412aee1242885c2cebe8e4?s=32&d=identicon&r=PG&f=y&so-version=2
"How to solve ""require is not defined"" in Vite?",Apr 18 at 19:11,vsync,3,1,7k,https://stackoverflow.com/questions/77421447/how-to-solve-require-is-not-defined-in-vite,https://www.gravatar.com/avatar/00eb0dd8c3cd1298b05f09661f0c2b45?s=32&d=identicon&r=PG
How to get all Solana Wallets with large sum [closed],Apr 18 at 16:14,Карпухин Михаил,0,0,14,https://stackoverflow.com/questions/78348934/how-to-get-all-solana-wallets-with-large-sum,https://www.gravatar.com/avatar/fc95c2ddccb6f9e8c6f3dc35f90d4085?s=32&d=identicon&r=PG&f=y&so-version=2
