title,time,writer,votes,answers,views,url,img
Trying to send data over WiFi to an ESP32 from an Android app - Data seemingly not sending,4 mins ago,Muhammad Wajid Khan,1,2,2k,https://stackoverflow.com/questions/75062515/trying-to-send-data-over-wifi-to-an-esp32-from-an-android-app-data-seemingly-n,https://lh3.googleusercontent.com/a-/AOh14GgtIyYTP7EHC0byggYcr4zEUeET4RoliEt_2ctQEQ=k-s32
C++ Lambdas Capture Only Primitives By Value,21 mins ago,Miles Budnek,0,1,18,https://stackoverflow.com/questions/78363782/c-lambdas-capture-only-primitives-by-value,https://i.stack.imgur.com/dpkLj.jpg?s=32&g=1
Create STL array of struct with const class member,34 mins ago,user12002570,0,2,37,https://stackoverflow.com/questions/78363799/create-stl-array-of-struct-with-const-class-member,https://www.gravatar.com/avatar/c7520662ec12aa13ed850360fd7d6050?s=32&d=identicon&r=PG&f=y&so-version=2
"When compiling Qt statically, the icons inside the resource file are not loaded",59 mins ago,coucou,0,0,6,https://stackoverflow.com/questions/78363868/when-compiling-qt-statically-the-icons-inside-the-resource-file-are-not-loaded,https://lh3.googleusercontent.com/a/AEdFTp4r3BpmykpexmGAVgPXboC2m_GaGsZ7qy8m76_w=k-s32
Serialization Not working for CMapWordToOb class in MFC,1 hour ago,aniket,0,0,12,https://stackoverflow.com/questions/78363222/serialization-not-working-for-cmapwordtoob-class-in-mfc,https://lh3.googleusercontent.com/a/AATXAJyEhefkdaaQEHZwC7h9HA72e22eCs1dePFjUvPB=k-s32
C/C++ How to format if conditions' single statement on the same line in VScode,1 hour ago,Pratick Bhowmick,0,1,742,https://stackoverflow.com/questions/74225013/c-c-how-to-format-if-conditions-single-statement-on-the-same-line-in-vscode,https://i.stack.imgur.com/danXo.jpg?s=32&g=1
google.protobuf.any variable put in to int array in C++,1 hour ago,jksilva,0,0,10,https://stackoverflow.com/questions/78363780/google-protobuf-any-variable-put-in-to-int-array-in-c,https://www.gravatar.com/avatar/ee1a4e120bbde47a0c4b117b8df5de74?s=32&d=identicon&r=PG&f=y&so-version=2
Compiling and Executing Tom Dallings OpenGL tutorials [closed],1 hour ago,genpfault,-3,0,18,https://stackoverflow.com/questions/78362893/compiling-and-executing-tom-dallings-opengl-tutorials,https://i.stack.imgur.com/tyWaU.png?s=32&g=1
Android app in C++Builder CE 11.3 fails to install - NO MATCHING ABIS,1 hour ago,Remy Lebeau,0,0,12,https://stackoverflow.com/questions/78363640/android-app-in-cbuilder-ce-11-3-fails-to-install-no-matching-abis,https://www.gravatar.com/avatar/f00013ceab8fb1928885c5c172fbfd4a?s=32&d=identicon&r=PG
Trying to draw letters in Minecraft Fonts using OpenGL [closed],1 hour ago,genpfault,-2,0,15,https://stackoverflow.com/questions/78363739/trying-to-draw-letters-in-minecraft-fonts-using-opengl,https://i.stack.imgur.com/tyWaU.png?s=32&g=1
I need to change the number of columns and rows in the terminal for my graphic library,1 hour ago,Craig Estey,0,1,40,https://stackoverflow.com/questions/78363360/i-need-to-change-the-number-of-columns-and-rows-in-the-terminal-for-my-graphic-l,https://i.stack.imgur.com/THfCr.png?s=32&g=1
How to receive messages from a streaming server?,2 hours ago,Johan Chane,1,2,751,https://stackoverflow.com/questions/58763327/how-to-receive-messages-from-a-streaming-server,https://i.stack.imgur.com/FgjZq.jpg?s=32&g=1
I don't understand why cin worked differently depending on when I took the input [duplicate],2 hours ago,user12002570,0,3,52,https://stackoverflow.com/questions/78363015/i-dont-understand-why-cin-worked-differently-depending-on-when-i-took-the-input,https://www.gravatar.com/avatar/c7520662ec12aa13ed850360fd7d6050?s=32&d=identicon&r=PG&f=y&so-version=2
Proper syntax for a function that takes two functions with variable parameters?,2 hours ago,Eshy,0,1,86,https://stackoverflow.com/questions/78360487/proper-syntax-for-a-function-that-takes-two-functions-with-variable-parameters,https://www.gravatar.com/avatar/3ee7f679f7eb16f8f3775a16716daaff?s=32&d=identicon&r=PG
C++ Templates for inheritance - How to use constructor?,2 hours ago,Michael Hall,0,0,82,https://stackoverflow.com/questions/78301305/c-templates-for-inheritance-how-to-use-constructor,https://www.gravatar.com/avatar/3eeb74208a1a8477778b504a8a403738?s=32&d=identicon&r=PG
