title,time,writer,votes,answers,views,url,img
How to solve appcompileflutterbuilddebug that is many time occur in our app when we run old project,47 mins ago,MANSI,1,1,43,https://stackoverflow.com/questions/78326064/how-to-solve-appcompileflutterbuilddebug-that-is-many-time-occur-in-our-app-when,https://www.gravatar.com/avatar/147f6fc16ba1005853e3fcd967166dee?s=32&d=identicon&r=PG&f=y&so-version=2
Flutter firestore: attempting to retrieve all documents of subcollection of the same collection,48 mins ago,marc_s,0,1,23,https://stackoverflow.com/questions/78363389/flutter-firestore-attempting-to-retrieve-all-documents-of-subcollection-of-the,https://www.gravatar.com/avatar/b4779212f57ff2e9549ea90a4499c2d7?s=32&d=identicon&r=PG
The argument type 'Future<Widget>' can't be assigned to the parameter type 'Widget'.dart,1 hour ago,Community,5,1,18k,https://stackoverflow.com/questions/57250986/the-argument-type-futurewidget-cant-be-assigned-to-the-parameter-type-widg,https://www.gravatar.com/avatar/a007be5a61f6aa8f3e85ae2fc18dd66e?s=32&d=identicon&r=PG
Error: Type 'FontFeature' not found. Flutter google_fonts package error,2 hours ago,Rilas agung pambudi,18,9,11k,https://stackoverflow.com/questions/78090711/error-type-fontfeature-not-found-flutter-google-fonts-package-error,https://lh3.googleusercontent.com/-7AgKZF-1s4M/AAAAAAAAAAI/AAAAAAAAAEA/GTjkyF2xtUM/photo.jpg?sz=32
Is null safety support now (more or less) mandatory for dart,2 hours ago,Victor Eronmosele,0,1,26,https://stackoverflow.com/questions/78363622/is-null-safety-support-now-more-or-less-mandatory-for-dart,https://lh5.googleusercontent.com/-VhSIBz1XE00/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQPUjIQaodrlH3cTMnTLo3Sl9EJXYw/mo/photo.jpg?sz=32
"On running default app, Flutter throws ""log reader stopped unexpectedly"" after switching to Master",2 hours ago,Richard Banguiz,27,29,48k,https://stackoverflow.com/questions/60729054/on-running-default-app-flutter-throws-log-reader-stopped-unexpectedly-after-s,https://www.gravatar.com/avatar/6cb4ca3f00e3ed68f5682a2f78f02dd2?s=32&d=identicon&r=PG&f=y&so-version=2
cachednetworkimage Reload images when moving to a page flutter,6 hours ago,jon snow,0,1,22,https://stackoverflow.com/questions/78362892/cachednetworkimage-reload-images-when-moving-to-a-page-flutter,https://www.gravatar.com/avatar/10a5c9c85b7a507aed9939b395bb6b63?s=32&d=identicon&r=PG&f=y&so-version=2
Overflow using `animated_tree_view`,7 hours ago,Matt,0,0,15,https://stackoverflow.com/questions/78363174/overflow-using-animated-tree-view,https://lh3.googleusercontent.com/-FGD7isWrQqo/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfw-Zejkbttu93YEB0Ugx_SXL1hIQ/mo/photo.jpg?sz=32
Special characters in Flutter,7 hours ago,Юлиан Антонов,44,6,72k,https://stackoverflow.com/questions/50060648/special-characters-in-flutter,https://lh3.googleusercontent.com/a/ACg8ocKgmySmeQkvJuUrj0VOgKplEsQFcWMWURXUuvFXdabR072Y=k-s32
iOS FCM notifications works only for some time [closed],7 hours ago,Doug Stevenson,0,0,15,https://stackoverflow.com/questions/78363117/ios-fcm-notifications-works-only-for-some-time,https://i.stack.imgur.com/xpNqK.jpg?s=32&g=1
String is not a subtype of type Map,8 hours ago,eamirho3ein,0,1,28,https://stackoverflow.com/questions/78362959/string-is-not-a-subtype-of-type-map,https://i.stack.imgur.com/icsbe.jpg?s=32&g=1
"Cannot format date to March 19, 2024 at 11:06:32 AM UTC+5"" type in flutter",8 hours ago,jamesdlin,0,2,34,https://stackoverflow.com/questions/78361766/cannot-format-date-to-march-19-2024-at-110632-am-utc5-type-in-flutter,https://www.gravatar.com/avatar/e240f1a5bb197450dfb8934dd55d9e3a?s=32&d=identicon&r=PG
Flutter - Sending POST request with 307 error,8 hours ago,Chris Rauch,0,0,17,https://stackoverflow.com/questions/78363010/flutter-sending-post-request-with-307-error,https://www.gravatar.com/avatar/146e666ff8a7f287cdd1b405b6e607ec?s=32&d=identicon&r=PG&f=y&so-version=2
W/StorageUtil( 9633): Error getting App Check token; using placeholder token instead,8 hours ago,A-E,1,1,15,https://stackoverflow.com/questions/78362613/w-storageutil-9633-error-getting-app-check-token-using-placeholder-token-ins,https://i.stack.imgur.com/FctHH.jpg?s=32&g=1
Splash Screen not full screen in android device flutter. Tried everyting. Using flutter_native_splash,10 hours ago,blackgreen,0,7,5k,https://stackoverflow.com/questions/72431859/splash-screen-not-full-screen-in-android-device-flutter-tried-everyting-using,https://i.stack.imgur.com/EDO69.png?s=32&g=1
