title,time,writer,votes,answers,views,url,img
problem with getting the version from the docker --build-arg command,3 mins ago,datawookie,0,1,21,https://stackoverflow.com/questions/78363262/problem-with-getting-the-version-from-the-docker-build-arg-command,https://www.gravatar.com/avatar/ee78d71d8c39eaf0880a1e9ed7187a95?s=32&d=identicon&r=PG
"Starting Docker process caused : runc create failed: unable to start container process: exec: ""flask"": executable file not found in $PATH: unknown",19 mins ago,datawookie,0,1,10,https://stackoverflow.com/questions/78363101/starting-docker-process-caused-runc-create-failed-unable-to-start-container-p,https://www.gravatar.com/avatar/ee78d71d8c39eaf0880a1e9ed7187a95?s=32&d=identicon&r=PG
Docker container does not connect to a port that was created after running the container,1 hour ago,Youssef Ehab,0,0,7,https://stackoverflow.com/questions/78363810/docker-container-does-not-connect-to-a-port-that-was-created-after-running-the-c,https://i.stack.imgur.com/eAutL.png?s=32&g=1
Docker container fail to connect to UiAutomator2 server created by host ADB,1 hour ago,Youssef Ehab,0,1,85,https://stackoverflow.com/questions/77543775/docker-container-fail-to-connect-to-uiautomator2-server-created-by-host-adb,https://i.stack.imgur.com/eAutL.png?s=32&g=1
Permission denied ssh key docker/jenkins,2 hours ago,Phil,0,0,12,https://stackoverflow.com/questions/78363724/permission-denied-ssh-key-docker-jenkins,https://www.gravatar.com/avatar/9ad213d8adabe4b64c2d53c5e0e3cab4?s=32&d=identicon&r=PG
ElasticSearch And Kibana With SSL Connect Refused(Kibana always connect to 127.0.0.1:9200),2 hours ago,guapi,0,1,25,https://stackoverflow.com/questions/78339814/elasticsearch-and-kibana-with-ssl-connect-refusedkibana-always-connect-to-127-0,https://www.gravatar.com/avatar/2694996529966a3ca6ba92a78caaa601?s=32&d=identicon&r=PG&f=y&so-version=2
404 not found error in nginx whenever I hit API route,3 hours ago,bhabishya chaudhary,0,1,22,https://stackoverflow.com/questions/78362296/404-not-found-error-in-nginx-whenever-i-hit-api-route,https://lh3.googleusercontent.com/a-/AOh14GgXOzWCrVenjA_Gto5RBU9oZEuVbzeWI_8jMEmFxQ=k-s32
x509: certificate has expired or is not yet valid: current time x is after y on Nhost,3 hours ago,AnonymousBlank,0,0,8,https://stackoverflow.com/questions/78363614/x509-certificate-has-expired-or-is-not-yet-valid-current-time-x-is-after-y-on,https://i.stack.imgur.com/UeLYC.jpg?s=32&g=1
Started a container with docker run using --latest tag. How to update it now?,4 hours ago,David G.,-1,1,31,https://stackoverflow.com/questions/78360200/started-a-container-with-docker-run-using-latest-tag-how-to-update-it-now,https://i.stack.imgur.com/R6mn8.jpg?s=32&g=1
How to fix executor failed running [/bin/sh -c pip install --upgrade --force-reinstall pip==9.0.3 && pip install --upgrade 'setuptools<45']:,5 hours ago,Community,2,2,9k,https://stackoverflow.com/questions/67727949/how-to-fix-executor-failed-running-bin-sh-c-pip-install-upgrade-force-rei,https://www.gravatar.com/avatar/a007be5a61f6aa8f3e85ae2fc18dd66e?s=32&d=identicon&r=PG
"【Docker】When I try to open DockerDesktop, I get a `docker desktop unexpected wsl error [closed]",6 hours ago,masyuko0222,-1,0,13,https://stackoverflow.com/questions/78359247/docker-when-i-try-to-open-dockerdesktop-i-get-a-docker-desktop-unexpected-wsl,https://www.gravatar.com/avatar/1739350c7ca4d3a25d45d693087398d8?s=32&d=identicon&r=PG&f=y&so-version=2
How to use docker with old engine version in Windows,6 hours ago,agustinvaca,0,0,14,https://stackoverflow.com/questions/78362993/how-to-use-docker-with-old-engine-version-in-windows,https://www.gravatar.com/avatar/1666c831d606d2af34e5152ccd81b8f6?s=32&d=identicon&r=PG&f=y&so-version=2
"I am trying to run my component tests on docker on windows OS, but it by default picks my tests from e2e",7 hours ago,saya somjal,0,1,17,https://stackoverflow.com/questions/78350507/i-am-trying-to-run-my-component-tests-on-docker-on-windows-os-but-it-by-default,https://lh3.googleusercontent.com/a/AATXAJx_db5J6LtTd71fcEnvO1KyEziuPqg4vBp_sbx4=k-s32
Nuxt not creating dist directory,7 hours ago,kissu,1,1,1k,https://stackoverflow.com/questions/69567785/nuxt-not-creating-dist-directory,https://www.gravatar.com/avatar/912aefa00ffe1fb9c545399984c42b97?s=32&d=identicon&r=PG
Requested build path ../code could not be found or you do not have access,8 hours ago,user24155091,-1,0,8,https://stackoverflow.com/questions/78363005/requested-build-path-code-could-not-be-found-or-you-do-not-have-access,https://www.gravatar.com/avatar/f1137ec35b813a7474fc498b8628c9f4?s=32&d=identicon&r=PG&f=y&so-version=2
