title,time,writer,votes,answers,views,url,img
GitHub sign in issue - how to use recovery code,1 min ago,Siddik,-1,0,4,https://stackoverflow.com/questions/78363995/github-sign-in-issue-how-to-use-recovery-code,https://www.gravatar.com/avatar/654a32d6949d2e9d9714ae595d432f48?s=32&d=identicon&r=PG&f=y&so-version=2
How to duplicate a git repository? (without forking),57 mins ago,Jeremy Caney,160,13,164k,https://stackoverflow.com/questions/6613166/how-to-duplicate-a-git-repository-without-forking,https://www.gravatar.com/avatar/68e9ff807fadeaa41ece5dcf761a03c1?s=32&d=identicon&r=PG
Why do my local folder names differ from the remote repo folder names?,2 hours ago,Phil,-1,0,16,https://stackoverflow.com/questions/78363646/why-do-my-local-folder-names-differ-from-the-remote-repo-folder-names,https://www.gravatar.com/avatar/9ad213d8adabe4b64c2d53c5e0e3cab4?s=32&d=identicon&r=PG
How to add a background color for div tag in README.md,3 hours ago,esqew,1,3,773,https://stackoverflow.com/questions/74506073/how-to-add-a-background-color-for-div-tag-in-readme-md,https://i.stack.imgur.com/Breov.jpg?s=32&g=1
React GitHub Pages CI/CD Pipeline Seems to Break Site,8 hours ago,coder111,0,0,10,https://stackoverflow.com/questions/78363009/react-github-pages-ci-cd-pipeline-seems-to-break-site,https://www.gravatar.com/avatar/9de9851f5bb946a7f6d75b4e2b0c5965?s=32&d=identicon&r=PG&f=y&so-version=2
403 Forbidden When Pushing Docker Image to GitHub Registry (ghcr.io),10 hours ago,ihaveaquestion,2,1,413,https://stackoverflow.com/questions/77419401/403-forbidden-when-pushing-docker-image-to-github-registry-ghcr-io,https://www.gravatar.com/avatar/193b68dc4be7b66f7f4ec8cfedd141f7?s=32&d=identicon&r=PG&f=y&so-version=2
How To solve This Problem git repository not pushed remote repository problem?,11 hours ago,Mdnasimakhtar2023,-4,0,17,https://stackoverflow.com/questions/78362447/how-to-solve-this-problem-git-repository-not-pushed-remote-repository-problem,https://i.stack.imgur.com/z4O2o.png?s=32&g=1
Deployment in progress,11 hours ago,Pravallika KV,0,1,41,https://stackoverflow.com/questions/78359495/deployment-in-progress,https://i.stack.imgur.com/40ftk.jpg?s=32&g=1
Why is my .gitignore file not working properly?,11 hours ago,Fakhriyya,0,0,28,https://stackoverflow.com/questions/78362432/why-is-my-gitignore-file-not-working-properly,https://www.gravatar.com/avatar/2889f14f41b3ea9f2a2148894a12ec0d?s=32&d=identicon&r=PG
How would you take one repo on JetBrains Space and push the commits and hopefully PR to GitHub repo,12 hours ago,LazyOne,0,0,16,https://stackoverflow.com/questions/78341306/how-would-you-take-one-repo-on-jetbrains-space-and-push-the-commits-and-hopefull,https://www.gravatar.com/avatar/4bbfd3e5e9f8b698abf7cd1c7aae7a10?s=32&d=identicon&r=PG
github actions: notifications on workflow failure,13 hours ago,abhijithvijayan,31,4,22k,https://stackoverflow.com/questions/62304258/github-actions-notifications-on-workflow-failure,https://i.stack.imgur.com/l54El.png?s=32&g=1
Can I share GitHub access token considering it has no write access? [closed],13 hours ago,jonrsharpe,-2,0,23,https://stackoverflow.com/questions/78362129/can-i-share-github-access-token-considering-it-has-no-write-access,https://i.stack.imgur.com/feZwC.jpg?s=32&g=1
ReadTheDocs: trigger build only for a given folder,14 hours ago,Gabriel,0,0,7,https://stackoverflow.com/questions/78361900/readthedocs-trigger-build-only-for-a-given-folder,https://i.stack.imgur.com/FP3Un.jpg?s=32&g=1
How do I uninstall interactions.py module that I install from github?,14 hours ago,Ajay Meena,0,2,19,https://stackoverflow.com/questions/78361347/how-do-i-uninstall-interactions-py-module-that-i-install-from-github,https://www.gravatar.com/avatar/8b13a6401cb068682cb1af8191e08e07?s=32&d=identicon&r=PG&f=y&so-version=2
'git pull' command work from terminal but not with php shell_exec() via git repository hook,15 hours ago,Kent Munthe Caspersen,16,3,16k,https://stackoverflow.com/questions/37752962/git-pull-command-work-from-terminal-but-not-with-php-shell-exec-via-git-repo,https://www.gravatar.com/avatar/58806b975f85de166828c97ab4536364?s=32&d=identicon&r=PG
