title,time,writer,votes,answers,views,url,img
"Automatic builds for Android app (Kotlin, Gradle). What is needed and how to stay up to date?",4 mins ago,Volker,0,0,4,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/KeEXO.jpg?s=32&g=1
Spring security build failed,11 mins ago,dur,0,0,14,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/6992b2117ccaf3d82f79a2062d0e93a5?s=32&d=identicon&r=PG&f=y&so-version=2
can we use gradle.kts for files other than build.gradle.kts,23 mins ago,max,0,0,4,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/A0fvm.png?s=32&g=1
Gradle build fails due to sun.security.validator.ValidatorException despite installing certificates,1 hour ago,NeckNecson,9,3,34k,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://lh6.googleusercontent.com/-Fo6Glc6h4_I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmFh5zeK2uBot7cusbhZiLy6j_A9g/photo.jpg?sz=32
How to configure Visual Studio Code for which JVM to use on OSX,1 hour ago,Frank Domburg,0,0,20,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://graph.facebook.com/100000737395109/picture?type=large
ReactNative android,1 hour ago,闫国强,0,0,6,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/534be977683690d63a2132cf6eb3658c?s=32&d=identicon&r=PG&f=y&so-version=2
How to run failed/flaky tests using gradle.test-retry,1 hour ago,abhisekh,0,0,4,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/c19b3c00a6c748d27c4b0b5b6e8485ee?s=32&d=identicon&r=PG&f=y&so-version=2
Execution failed for task: ':app:preDexDebug',1 hour ago,KJaeg,8,4,14k,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/ddc42443ececaa8d9a317c36aaee8c14?s=32&d=identicon&r=PG&f=y&so-version=2
Android Studio Gradle Build error - specified for property 'manifest' does not exist,1 hour ago,KJaeg,3,1,13k,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/ddc42443ececaa8d9a317c36aaee8c14?s=32&d=identicon&r=PG&f=y&so-version=2
"How can I resolve flutter app build fail for android metadata is 1.9.0, expected version is 1.7.1?",1 hour ago,Maveňツ,1,2,52,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/KWuFr.jpg?s=32&g=1
Gradle composite builds - How to make an included task depend on a task in the project including the build?,2 hours ago,Kimble,0,0,9,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/3120e3db401361292eab43c7be870af5?s=32&d=identicon&r=PG
"the following options were not recognized by any processor: '[dagger.fastinit, dagger.hilt.android.internal",2 hours ago,Kalin Bhaiya,1,2,481,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/46ffe06dec9d356d28ebeb31d9742162?s=32&d=identicon&r=PG&f=y&so-version=2
How does the dependencies in kotlin multiplatform work?,3 hours ago,Arek Kubiński,0,1,26,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/WkJTY.jpg?s=32&g=1
Task :app:copyReactNativeVectorIconFonts FAILED,5 hours ago,GianhTran,5,5,4k,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/PCZ7Y.png?s=32&g=1
Jenkins: Gradle unable to connect to MariaDB despite successful setup in Jenkins pipeline,6 hours ago,Gary Chen,0,0,6,https://stackoverflow.com/questions/tagged/Gradle?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/-V6wRkQdTy8U/AAAAAAAAAAI/AAAAAAAAABw/C8VHcDi5w48/photo.jpg?sz=32
