title,time,writer,votes,answers,views,url,img
Failed to start slurmd service slurmd: error: Thread count (32) not multiple of core count (24),14 mins ago,damienfrancois,0,1,13,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/3nhVJ.jpg?s=32&g=1
Docker build stopped working after Ubuntu software update,17 mins ago,André Lehto,1,1,19,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a/ALm5wu0mSKZxZGjFXGy18Agr6d7nvq4MY_mYqc_NTxudjHg=k-s32
nvim - deactivating mouse,24 mins ago,Yuanhao,0,2,2k,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/123Ss.jpg?s=32&g=1
<3>WSL (358) ERROR: CreateProcessParseCommon:789: Failed to translate Z:/,1 hour ago,Qo Ao,8,4,10k,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/b964a7aca6589fd4a50aeea5b36a6050?s=32&d=identicon&r=PG&f=y&so-version=2
Stop CMake from exporting dependencies,1 hour ago,Tejas Pendse,0,0,39,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/XhSl1.png?s=32&g=1
Linux : Question about xml file can't open [closed],1 hour ago,tao huang,-3,0,35,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/15a49ded255db5d2f1925ede19b72b30?s=32&d=identicon&r=PG&f=y&so-version=2
How to repair a corrupted linux luks encrypted ext4,2 hours ago,Community,2,1,9k,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/a007be5a61f6aa8f3e85ae2fc18dd66e?s=32&d=identicon&r=PG
Connection refused to MongoDB errno 111,2 hours ago,anusha majji,86,13,240k,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/79d217b7ea938d549f5eae34f7025855?s=32&d=identicon&r=PG&f=y&so-version=2
How to assign values to variables while executing commands as another user in bash [duplicate],2 hours ago,tripleee,0,0,28,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/091f411d57db5be8298e057a32e5ad72?s=32&d=identicon&r=PG
Start container only when previous container has run and stopped,2 hours ago,sohaib aftab,0,0,12,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/cbf259e997a0a71a72799ad9cfaae401?s=32&d=identicon&r=PG&f=y&so-version=2
Unable to run upgrade [closed],2 hours ago,Sumit Anand Padiyar,-1,1,32,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/f9ba2292a46cc4f068d473eca2d880f3?s=32&d=identicon&r=PG&f=y&so-version=2
DotNet Profiling in linux.it's not working,3 hours ago,jiaxiang8756,0,0,13,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/2eec30026f8aa96d4c177c9e87bee573?s=32&d=identicon&r=PG&f=y&so-version=2
Sending a mail from a linux shell script,4 hours ago,Jonathan L,141,12,499k,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/m0k2I.png?s=32&g=1
ModuleNotFoundError: No module named 'pip._internal.cli',4 hours ago,Ajay T,2,3,9k,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://lh4.googleusercontent.com/-_RMhUbXsfSs/AAAAAAAAAAI/AAAAAAAAASU/5W6vAbtQqSI/photo.jpg?sz=32
timer in Linux Kernel raise oops,4 hours ago,zhf999,0,0,42,https://stackoverflow.com/questions/tagged/Linux?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/YhKYW.png?s=32&g=1
