title,time,writer,votes,answers,views,url,img
.NET Maui CarouselView Problems newbie,1 hour ago,Prabhav Mehra,0,2,28,https://stackoverflow.com/questions/78361330/net-maui-carouselview-problems-newbie,https://www.gravatar.com/avatar/c0d242725980a708068e6999ff032cf8?s=32&d=identicon&r=PG
WPF MVVM Code Behind,6 hours ago,Emperor Eto,18,6,7k,https://stackoverflow.com/questions/20883199/wpf-mvvm-code-behind,https://graph.facebook.com/100003096226037/picture?type=large
Wpf gridview selected Item,yesterday,James,3,2,7k,https://stackoverflow.com/questions/16439072/wpf-gridview-selected-item,https://i.stack.imgur.com/gYyIB.png?s=32&g=1
Error with grouping and displaying data in the header according to 2 parameters,yesterday,OverCome231,0,0,21,https://stackoverflow.com/questions/78357983/error-with-grouping-and-displaying-data-in-the-header-according-to-2-parameters,https://www.gravatar.com/avatar/23136c9ebb29a768b99226beffeee920?s=32&d=identicon&r=PG
How to get InputBinding to fire a MouseBinding Command on a WPF Listview,yesterday,EldHasp,0,1,28,https://stackoverflow.com/questions/78356235/how-to-get-inputbinding-to-fire-a-mousebinding-command-on-a-wpf-listview,https://lh4.googleusercontent.com/-M0DKKWKkgTg/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJNXfCVUnaeykanYfIwsQ_4XZksEJg/photo.jpg?sz=32
WPF - Cannot find resource named 'resource_name' defined in App.xaml [duplicate],yesterday,Clemens,0,0,30,https://stackoverflow.com/questions/78356417/wpf-cannot-find-resource-named-resource-name-defined-in-app-xaml,https://www.gravatar.com/avatar/ecd80cd7d5927902f3af471fa0353836?s=32&d=identicon&r=PG
Shared ViewModels in modules,2 days ago,Void,0,1,350,https://stackoverflow.com/questions/72853328/shared-viewmodels-in-modules,https://i.stack.imgur.com/9chUB.jpg?s=32&g=1
Share ViewModel instance between module in android,2 days ago,Void,1,2,796,https://stackoverflow.com/questions/52058494/share-viewmodel-instance-between-module-in-android,https://i.stack.imgur.com/9chUB.jpg?s=32&g=1
"Create user definied list for a combo box (EF, WPF, MVVM, C#)? [closed]",2 days ago,Andrew KeepCoding,-2,1,37,https://stackoverflow.com/questions/78351933/create-user-definied-list-for-a-combo-box-ef-wpf-mvvm-c,https://i.stack.imgur.com/2oNX7.jpg?s=32&g=1
WPF Binding get some wrong in MahApps.Metro but it can run,2 days ago,Richard Arlen,-1,1,18,https://stackoverflow.com/questions/78347167/wpf-binding-get-some-wrong-in-mahapps-metro-but-it-can-run,https://www.gravatar.com/avatar/8f504ed8a63d75216f7f2cae1d13823d?s=32&d=identicon&r=PG&f=y&so-version=2
Button Command Not Fire the Method in .Net MAUI,Apr 19 at 3:02,Jianwei Sun - MSFT,0,1,46,https://stackoverflow.com/questions/78324430/button-command-not-fire-the-method-in-net-maui,https://i.stack.imgur.com/xRp95.jpg?s=32&g=1
Maui - TabbedPage bind Tabs to ViewModel causes NavigationFailed error,Apr 18 at 21:47,Prabhav Mehra,0,1,35,https://stackoverflow.com/questions/78347441/maui-tabbedpage-bind-tabs-to-viewmodel-causes-navigationfailed-error,https://www.gravatar.com/avatar/c0d242725980a708068e6999ff032cf8?s=32&d=identicon&r=PG
how to add a double click event for 2 nested listbox WPF C#,Apr 18 at 14:25,mm8,0,1,28,https://stackoverflow.com/questions/78346663/how-to-add-a-double-click-event-for-2-nested-listbox-wpf-c-sharp,https://i.stack.imgur.com/LUgxG.png?s=32&g=1
Binding ListView to ObservableCollection with MVVM,Apr 18 at 8:53,Liyun Zhang - MSFT,0,1,37,https://stackoverflow.com/questions/78346003/binding-listview-to-observablecollection-with-mvvm,https://i.stack.imgur.com/LPKrd.jpg?s=32&g=1
Kotlin - videos not playing when there is no internet connection(offline),Apr 18 at 8:04,Naveen,0,0,56,https://stackoverflow.com/questions/78332166/kotlin-videos-not-playing-when-there-is-no-internet-connectionoffline,https://www.gravatar.com/avatar/e3946ac466e8f3a712c51165e37ba8e2?s=32&d=identicon&r=PG&f=y&so-version=2
