title,time,writer,votes,answers,views,url,img
How to increase performance/framerate of smoothlife in p5js,5 mins ago,Ilmari Karonen,1,1,25,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/VIYKv.png?s=32&g=1
Detect client side navigaton with next/navigation (Next 13+),27 mins ago,Shahriar,0,1,9,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/zcSMj.jpg?s=32&g=1
Is there any difference between calling prisma on client side and server side? [closed],33 mins ago,Invulner,0,0,27,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/abfa83a3c95feb24fb07c3ecaead478a?s=32&d=identicon&r=PG&f=y&so-version=2
Javascript append url date,34 mins ago,Emre,-1,0,21,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/17de6498f7224d4881009a19459b3ab6?s=32&d=identicon&r=PG&f=y&so-version=2
redux-persist failed to create sync storage. falling back to noop storage. - Next.js,46 mins ago,sensorario,0,2,636,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/wJ6T0.png?s=32&g=1
"(0 , next_auth_react__WEBPACK_IMPORTED_MODULE_3__.signIn) is not a function after Login",1 hour ago,Stykgwar,0,0,5,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/89e6ba7f1a8ee7387ff55f9216fcf294?s=32&d=identicon&r=PG
Run just TypeScript type checks on a Next.js project,1 hour ago,Iván Pérez,1,1,309,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/1e78f8f26e1eff59c84c1dedf1d33dc4?s=32&d=identicon&r=PG
Error: Cannot find module Next.js 14 when module exists,1 hour ago,Hef,0,1,12,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/y5bCb.jpg?s=32&g=1
Supabase Prisma Error: P1001: Can't reach database server at `aws-0-ap-southeast-1.pooler.supabase.com`:`5432`,1 hour ago,Inaara Kalani,0,0,6,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a-/AOh14GgoZwvEocOLAgCY8DjilfkZGgO4cbWNlfr1qi2Cew=k-s32
getting JSON.parse error only while deploying it on vercel but works fine on localhost,1 hour ago,ANMOL JAIN,0,0,9,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://lh6.googleusercontent.com/-MJKQ4yX9GtA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnIwYtYZNYZHcaSt2ijrfS8LasXfQ/s96-c/photo.jpg?sz=32
"Variable gets overwritten to empty, can't find what's causing it",1 hour ago,AKX,-1,1,32,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/vVhK5.jpg?s=32&g=1
useSWRInfinite not returning complete data in first attempt,1 hour ago,Sana Fatima,0,0,7,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a/AAcHTtcw-yc9aGuM9Tem34AU8WdmCq1Vhqmpicoqe6ZRZEuq=k-s32
Set Tailwind Base Layer Styles for Subset of Components,1 hour ago,4cyc,0,0,16,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/D2xTi.jpg?s=32&g=1
error - ReferenceError: document is not defined NextJS,2 hours ago,ali orooji,8,5,7k,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://lh5.googleusercontent.com/-Brud6eFG8JA/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJOU1BmuwS6N7Rsor1Z-8dqNTAOlBQ/photo.jpg?sz=32
Fetching Theme Preference from Local Storage in Next.js Directly,2 hours ago,Hashan Hemachandra,2,1,49,https://stackoverflow.com/questions/tagged/Next.js?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/vArST.jpg?s=32&g=1
