title,time,writer,votes,answers,views,url,img
retryWrites in mongodb python,14 hours ago,Rafa Viotti,3,1,2k,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/f9d4663fa7d82a21f3817d54e9db8b34?s=32&d=identicon&r=PG
How should I model likes/dislikes in NoSQL?,17 hours ago,sooyeon,0,0,10,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a/AATXAJw8o2d8InZY6EpxBfF04CJdMH02Pzuqd-JMeweW=k-s32
"etcd transaction Commit() returned ""Succeeded: false"", but value was stored?",17 hours ago,armaka,0,0,6,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/a1c63af01d455ff9df45383f55150259?s=32&d=identicon&r=PG
Update UTCDateTimeAttribute attribute in PynamoDB based on conditon,20 hours ago,Siddarth Patil,0,1,10,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/vkYq2.png?s=32&g=1
"How to return the ObjectId or _id of an document in MongoDB? and error ""$in needs an array""",yesterday,Mattia Ferigutti,27,9,104k,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/NiF9O.jpg?s=32&g=1
Mongo DB Bson and Java: adding and returning field in child documents that is only present in the parent?,yesterday,cmgchess,2,1,20,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/myTpQ.jpg?s=32&g=1
How to accomodate an indefinite number of levels for categories and subcategories in Laravel with MySQL database [closed],2 days ago,Fakrudeen P K,-2,0,20,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a/ACg8ocIMgLOL451x2XdXQGd96YaTG0mVfO-ba_EKlWc477au42w=k-s32
JSON query builder for Cassandra [closed],2 days ago,Hammad Ul Haque,0,0,32,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://lh4.googleusercontent.com/-JR3MMbN0_gU/AAAAAAAAAAI/AAAAAAAABoc/lYjgP_hV4-A/photo.jpg?sz=32
Cassandra Database not starting up in windows 10,2 days ago,James Z,0,1,22,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/J6pYX.png?s=32&g=1
How to only get the last item of an array in MongoDB Document using Java/Kotlin,Apr 15 at 21:20,Ellet,-1,1,32,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/ZkuHx.jpg?s=32&g=1
Should non-primary-key attributes be part of a DynamoDB table definition?,Apr 15 at 8:44,Yves M.,3,1,1k,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/JbyYH.png?s=32&g=1
Using Mongodb with Firebase/Firestore [closed],Apr 14 at 22:41,David Molina,4,1,2k,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a-/AOh14Gh-MFB-TjGoLBNwgwPzoqrEpQsNm4IsMsZmMoxDeg=k-s32
What are some good approaches for initializing a Scylladb database with docker compose?,Apr 14 at 12:35,hanishi,1,3,818,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/5b5d09ab7aac93bbf050c6a1ba5bb173?s=32&d=identicon&r=PG
"MongoDB aggregation, take an array of values and get their amount",Apr 13 at 18:03,ray,0,1,57,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/3NYGa.png?s=32&g=1
How to enforce foreign keys in NoSql databases (MongoDB)?,Apr 13 at 16:38,Youssef Atta'i,24,7,25k,https://stackoverflow.com/questions/tagged/NoSQL?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/vYDVS.jpg?s=32&g=1
