title,time,writer,votes,answers,views,url,img
Camera not opening in Open CV,12 mins ago,Avión,0,0,7,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/7jRzE.jpg?s=32&g=1
how to detect square in image with noisy background,31 mins ago,anmabe,0,1,51,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/4O6wr.jpg?s=32&g=1
PyQt6 Application Crashes When Window is Moved or Resized During Video Capture with opencv,1 hour ago,Alessio Michelassi,0,0,11,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a-/AOh14GjJav6FNPBmlO2jVbrq-UWbuw7HCI2k5kgWCkHp=k-s32
Detecting a contour of the die in a noisy image,2 hours ago,cadd9,-3,0,33,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/31gtL.png?s=32&g=1
Improving the document edge detection,2 hours ago,Imran Premnawaz,0,0,19,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/dc7884823191777f63765727545471a3?s=32&d=identicon&r=PG&f=y&so-version=2
how to reconstruct in 3d of a scene from two images,11 hours ago,Community,1,2,9k,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/a007be5a61f6aa8f3e85ae2fc18dd66e?s=32&d=identicon&r=PG
Why OpenCV module always show error on Streamlit Cloud deployment?,13 hours ago,Sambhav Gupta,1,0,12,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/6af1efb9f26303ff8c374923361a440b?s=32&d=identicon&r=PG&f=y&so-version=2
Splitting my code into OpenCV and UDP and the differences between using OpenCV and UDP,15 hours ago,Christoph Rackwitz,0,0,27,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/c76ea7b35660e77624550130276c61d3?s=32&d=identicon&r=PG
Laplacian of Gaussian(LoG) blob detector c++,15 hours ago,Artem Ishmukhamedov,1,0,15,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/f56ca61d9e6a754e9669d0b77144fdea?s=32&d=identicon&r=PG&f=y&so-version=2
Imwrite OPEN CV method,16 hours ago,Dan Mašek,0,2,45,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/AI0Bc.png?s=32&g=1
undefined reference to raspicam,18 hours ago,Nguyễn Đức Tài,0,1,129,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/39c225b8c0e3d3e0e701dcf84efa570d?s=32&d=identicon&r=PG&f=y&so-version=2
Differentiate very dark regions in X-ray image using opencv [closed],18 hours ago,Bala Murugan,-1,0,53,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/ad756e59d867be1dfdb30447f12239bf?s=32&d=identicon&r=PG&f=y&so-version=2
Live face detection using MTCNN,19 hours ago,Md. Towhidul Islam Rahat,-3,0,21,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a-/AOh14GjiacgvtIitIcRieotGWIEFsNvIp0zRpNhgQL7N=k-s32
How to make USB camera work with OpenCV?,yesterday,noosh,14,7,50k,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a/AATXAJy3MEUffDBEWpUNA0od-CwuK6Zs0PLovphzYHqN=k-s32
PyScript OpenCV -- Blank Screen,yesterday,Sulaim zaed,0,1,38,https://stackoverflow.com/questions/tagged/OpenCV?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a/ACg8ocIFG9DnPC7kUWqWplAYSsu1PylVlPjD8PwYBMo11LBFZ4Q=k-s32
