title,time,writer,votes,answers,views,url,img
QT: How to channge button icon on hover event?,2 hours ago,Nyquist,1,1,34,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=32
"Could not load the Qt platform plugin ""xcb"" in """" even though it was found",3 hours ago,software developer,17,7,33k,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a/ACg8ocIH4LzRzTUuxjyKCX2rgwDvl_YdPPMyeAFvBFhoV_NWmMlj3g=k-s32
How to deal with ContentNotFoundError when using wkhtmltopdf?,5 hours ago,Arash Homayounfar,12,5,33k,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/6ffdf0fff293768cf7afa7a85baf16ac?s=32&d=identicon&r=PG&f=y&so-version=2
Chaning QOpenGLWidget's parent from QMainWindow to QMdiSubWindow is not working properly,6 hours ago,TopServicer,0,0,13,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/1nfaK.jpg?s=32&g=1
How to set background color of HorizontalHeaderView Qt QML Quick Controls 2 (Qt6.5),10 hours ago,Jeffrey Faust,0,2,250,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/d7df0cbb8e31e03bbdf56cb839058edf?s=32&d=identicon&r=PG
"QSplitter, hide sub elements one by one",11 hours ago,musicamante,0,1,48,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/yERLj.jpg?s=32&g=1
How i can change color or remove the default lines from my installer using Qt Installer Framework,13 hours ago,TylerH,0,0,20,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/UIrGI.jpg?s=32&g=1
Pyqt widgets updating in wrong order [closed],15 hours ago,Christoph Rackwitz,0,0,19,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/c76ea7b35660e77624550130276c61d3?s=32&d=identicon&r=PG
How to show Dialog window from QML plugin,19 hours ago,Leo Abalckin,0,0,14,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a-/AOh14Gg3UyYbT2uorbXL45iDLgNZ4wh3CYKIgoo6YQ3X=k-s32
C++ Qt Multiple Definitions,20 hours ago,Cacafave,17,8,34k,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/d19f9b6a0811c410b6fced9f8e6e633b?s=32&d=identicon&r=PG&f=y&so-version=2
how to interact with other android apps from Qt,21 hours ago,TheBlackSwan994,0,0,28,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/d1b3a0ec30a9616705cf9c73ca0132cf?s=32&d=identicon&r=PG&f=y&so-version=2
Building a static program on Qt,22 hours ago,asacloud,0,1,102,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/5d64e3fcc41a77ef821c4ee5fd286659?s=32&d=identicon&r=PG&f=y&so-version=2
x11 error: The X11 connection broke (error 1),22 hours ago,MoonBreak Darkness,0,0,18,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a/ACg8ocLLSAUxlC2CuDfQ21zS7TZnijj2Hi2FjpP5Cv1ZV96inw=k-s32
How to move window using custom titleBar in Qt,23 hours ago,ManuelSchneid3r,2,5,2k,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/mEjSr.jpg?s=32&g=1
QML: How to recall a submodel in qml file and register classes in main.cpp,23 hours ago,Cacafave,1,0,26,https://stackoverflow.com/questions/tagged/Qt?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/d19f9b6a0811c410b6fced9f8e6e633b?s=32&d=identicon&r=PG&f=y&so-version=2
