title,time,writer,votes,answers,views,url,img
"Is it possible to implement nested Enums in Rust, with compile-time checking of variants",50 mins ago,user6029609,0,0,12,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://lh6.googleusercontent.com/-WBTAANLfjto/AAAAAAAAAAI/AAAAAAAAAxs/FB2g5cjV-To/photo.jpg?sz=32
Non deterministic 4 line Rust program [closed],3 hours ago,Ricky Mo,-5,1,51,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://lh6.googleusercontent.com/-1vZU7dxLnug/AAAAAAAAAAI/AAAAAAAAATs/NO0fprNnb6s/photo.jpg?sz=32
How to implement Rust generics with traits?,4 hours ago,connsmytheovie,0,0,30,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/f886f3f18cdd64e80b1c7efb32709f5d?s=32&d=identicon&r=PG
"When I use ByteStream In rocket , how should I add custom headers?",6 hours ago,李小飞,0,0,18,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/583a4d0358c363aed66a8fae37ca81e0?s=32&d=identicon&r=PG&f=y&so-version=2
Polars: read from parquet in Rust,7 hours ago,user24332012,-1,2,1k,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/ce45f8a9dea50d0a02e9ae1aab5a9951?s=32&d=identicon&r=PG&f=y&so-version=2
ImportError: DLL load failed while importing _rust cyrptography [closed],8 hours ago,CHRISTIAN KELECHI EZE,-2,1,93,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/bad468ec378c6b0f5ab70be89ae7c186?s=32&d=identicon&r=PG
Can I make the result of `match`ing on a `const` expression be `const` too?,9 hours ago,drewtato,2,1,46,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/Kh7AS.jpg?s=32&g=1
Capturing Rust generated panic as C++ exception,10 hours ago,Stargateur,3,1,90,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/erPUC.png?s=32&g=1
Conditionally deserialize a csv record using serde,10 hours ago,willsbit,-1,0,48,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/4f7b3c7c139f95f53eff85289450c87f?s=32&d=identicon&r=PG&f=y&so-version=2
Type Mismatch Error When Wrapping Bcrypt Hash Function in Rust with N-API,10 hours ago,Chayim Friedman,2,1,24,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/214bf484023432ce2b18f2f324af85d9?s=32&d=identicon&r=PG&f=y&so-version=2
When I run a certain compiler flag the Rust compiler can't find my main,11 hours ago,Stargateur,0,2,59,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/erPUC.png?s=32&g=1
Is it possible to have multiple long names for the same command-line argument?,14 hours ago,Fayeure,1,0,45,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/17ecf694d4d015f71ac6c933690ce8c9?s=32&d=identicon&r=PG&f=y&so-version=2
Abstracting across ChunkedArray types in Rust/Polars,14 hours ago,Chayim Friedman,1,1,25,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/214bf484023432ce2b18f2f324af85d9?s=32&d=identicon&r=PG&f=y&so-version=2
Developing Rust app in buildroot (problem with cargo build --offline --locked),14 hours ago,Flávio Tapajós,1,3,393,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/ed1dff4e0cd58bcd0b07efa4a854b112?s=32&d=identicon&r=PG&f=y&so-version=2
Implement FromStr for structs with fields such as Option<T> or Vec<T> using procedural macros in Rust,15 hours ago,Marcus Cvjeticanin,0,0,39,https://stackoverflow.com/questions/tagged/Rust?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/ueCf4.jpg?s=32&g=1
