title,time,writer,votes,answers,views,url,img
How to assign values to variables while executing commands as another user in bash [duplicate],2 hours ago,tripleee,0,0,28,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/091f411d57db5be8298e057a32e5ad72?s=32&d=identicon&r=PG
Sending a mail from a linux shell script,4 hours ago,Jonathan L,141,12,499k,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/m0k2I.png?s=32&g=1
Dynamically include specific directories and exclude others in Bash select,6 hours ago,John Kugelman,1,2,33,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/7d9fd158e03cbde94f7e0b33b78222af?s=32&d=identicon&r=PG
vCenter 7 script to edit/delete VM,9 hours ago,Jose Fernando Gomez Davila,0,0,14,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/Fp8Ae.jpg?s=32&g=1
Is it possible to pipe a file into heredoc in bash?,9 hours ago,Barmar,0,1,31,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/82f9e178a16364bf561d0ed4da09a35d?s=32&d=identicon&r=PG
How to connect google cloud shell to termux app using ssh?,10 hours ago,Muhammad Saad,0,1,2k,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/EFXOO.jpg?s=32&g=1
How to set path to kubectl when installed using gcloud components install?,12 hours ago,Daniel Serodio,15,4,11k,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/945258270639ca5c60f7bc5b778b3319?s=32&d=identicon&r=PG
why does `watch` skip every other line when --no-wrap in enabled and all the lines are short,12 hours ago,yvs2014,2,1,41,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/97b81faf2f453a651fca9e3a9485bd64?s=32&d=identicon&r=PG&f=y&so-version=2
Remove Directories after Loop,13 hours ago,ThePix,0,0,26,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/ce0bf90d25e97ab095580fdbf7610351?s=32&d=identicon&r=PG&f=y&so-version=2
CONTROL DE ERRORES DE MONGOEXPORT shell [closed],13 hours ago,Deyvids Valverde,-3,0,14,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a/ACg8ocJls-7XoO9qwWjN1hfmCYwM-iJk4X3P3au9x2vnHTP2JS4=k-s32
How can I repeat a character in Bash?,15 hours ago,Pila,347,42,250k,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/af95fcd59720dbb119b61291f0365158?s=32&d=identicon&r=PG
"Stopping the pop-up message ""Value Path exists, overwrite(Yes/No)?",16 hours ago,user24471638,0,0,18,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/168641a431755f3b1253f64dd6953385?s=32&d=identicon&r=PG&f=y&so-version=2
Changing python virtual environment when calling a script from a python program,16 hours ago,Psionman,0,0,7,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/xMnIO.gif?s=32&g=1
Why didn't back quotes in a shell script help me cd to a directory,19 hours ago,Jonathan Leffler,5,2,2k,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/WtEI9.png?s=32&g=1
Write shell command to find long if statements within a directory of php files,21 hours ago,Ed Morton,-2,1,47,https://stackoverflow.com/questions/tagged/shell?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/99a3ebae89496eb16afe453aae97f5be?s=32&d=identicon&r=PG
