title,time,writer,votes,answers,views,url,img
I cant deploy my contract which I typed on 4.17 solidity in Remix-IDE,14 hours ago,Fedor,0,0,6,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/8d601da836449a445b9f15756296061d?s=32&d=identicon&r=PG
Erc20 Token Presale Swap Problem Remix Ethereum Solidity,18 hours ago,Drew Reese,-1,0,8,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://lh6.googleusercontent.com/-47_HcdolAr0/AAAAAAAAAAI/AAAAAAAAB30/lD6xAXOWlu4/photo.jpg?sz=32
"Asserting attribute change after transaction, using Foundry test network",21 hours ago,a.t.,0,1,18,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/c8cadc2e4aeaacc49c993ef97d0d1527?s=32&d=identicon&r=PG&f=y&so-version=2
Error: cannot estimate gas; transaction may fail or may require manual gas limit SERVER_ERROR,yesterday,ZhectorSM,0,1,53,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/783606e05a03ecd896ce16e2e60f4c83?s=32&d=identicon&r=PG&f=y&so-version=2
Why is the function throwing an error when called from another contract but not when called independently?,yesterday,Shreyansh Tiwari,0,0,17,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://lh4.googleusercontent.com/--tXR71gpfD4/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3reZXGLYhc5uUX_DVaoqnC8FNN4jmw/photo.jpg?sz=32
When testing on mainnet fork with hardhat 2.22.2: Error: The response reported error `429`,yesterday,Matt Jaf,1,1,14,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://graph.facebook.com/10159977480148991/picture?type=large
Axelar Troubleshooting 'REVERT opcode' Failure When Using callContractWithToken [closed],yesterday,Drew Reese,-1,0,21,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://lh6.googleusercontent.com/-47_HcdolAr0/AAAAAAAAAAI/AAAAAAAAB30/lD6xAXOWlu4/photo.jpg?sz=32
whats problem in my solidity smat-contract?,yesterday,roman,0,0,21,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/1eb25460a8f01cc2bc277cbd53e8b287?s=32&d=identicon&r=PG&f=y&so-version=2
The transaction has been reverted to the initial state in remix,yesterday,Vishav Singla,0,0,7,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a/AATXAJwxRAWHc5smUlG71Tpz2tIK0IfjcdBNuHckmAOt=k-s32
How to use solidity events in react useEffect?,yesterday,Alex Csiszár,0,0,8,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://lh4.googleusercontent.com/-girEp0FWEqE/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJOKLG7PNEk8uJoTJ8fMN07YUyDgCw/photo.jpg?sz=32
"Error: Cannot destructure property 'title' of '(0 , react__WEBPACK_IMPORTED_MODULE_1__.useContext)(...)' as it is undefined (Next.js Chat App)",yesterday,Bhavesh Rathod,0,1,16,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a/AAcHTtdRpTn_aEd9XSArZxe5JNIwkWeZfx3v6MZBOz4iMKRcJ4o=k-s32
Blockchian implementation in mobile app for data storage,yesterday,Mikko Ohtamaa,0,1,23,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/fbcd3f115ce33ea2380f5a2dae0cf6d2?s=32&d=identicon&r=PG
Network doesn't support eip-1559,2 days ago,James Z,0,0,18,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/J6pYX.png?s=32&g=1
Unable to send ERC20 via script using hardhat on private blockchain,2 days ago,Dubois Amaury,0,0,27,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/-76Uq-Agqj_Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckg8gwROIMiVPLwWya31GmZBOjOiA/s96-c/photo.jpg?sz=32
Chai - AssertionError: expected BigNumber,Apr 16 at 7:47,Sundram Mishra,1,1,601,https://stackoverflow.com/questions/tagged/Solidity?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/9f88a989acc6692dd4a5665549c890e6?s=32&d=identicon&r=PG&f=y&so-version=2
