title,time,writer,votes,answers,views,url,img
Total failure selecting an item displayed by a List View,1 min ago,HangarRash,0,0,10,https://stackoverflow.com/questions/78363910/total-failure-selecting-an-item-displayed-by-a-list-view,https://www.gravatar.com/avatar/1c979ae6548bbc9f758ba82eb6582585?s=32&d=identicon&r=PG
How to hide the title on the tab bar item with navigation controller,5 mins ago,Mitul Pokiya,11,8,16k,https://stackoverflow.com/questions/36561578/how-to-hide-the-title-on-the-tab-bar-item-with-navigation-controller,https://lh6.googleusercontent.com/-5pvS8Ot75iI/AAAAAAAAAAI/AAAAAAAAGYU/zNE64Me0cB8/photo.jpg?sz=32
no data being returned from Notion API call,1 hour ago,workingdog support Ukraine,0,1,32,https://stackoverflow.com/questions/78359817/no-data-being-returned-from-notion-api-call,https://www.gravatar.com/avatar/32d6e686b405aa5f26cae9acaefdb074?s=32&d=identicon&r=PG&f=y&so-version=2
set the size and position of all windows on the screen in swift,1 hour ago,user23833177,4,1,4k,https://stackoverflow.com/questions/47480873/set-the-size-and-position-of-all-windows-on-the-screen-in-swift,https://www.gravatar.com/avatar/d06246c7a3e76c780a5bca9e44615e9b?s=32&d=identicon&r=PG&f=y&so-version=2
SwiftUI List row is selected instead of focusing the TextField,3 hours ago,Ganesh Kumar M V,0,0,21,https://stackoverflow.com/questions/78363623/swiftui-list-row-is-selected-instead-of-focusing-the-textfield,https://i.stack.imgur.com/rtuBD.jpg?s=32&g=1
SnapSDK Creative Kit problem with startSending(content),4 hours ago,MilosPolo,0,0,9,https://stackoverflow.com/questions/78363532/snapsdk-creative-kit-problem-with-startsendingcontent,https://www.gravatar.com/avatar/1fc3c965bf4521794e842d119669cb57?s=32&d=identicon&r=PG&f=y&so-version=2
SwiftUI Reorder list dynamic sections from another view,5 hours ago,pawello2222,3,1,1k,https://stackoverflow.com/questions/62996572/swiftui-reorder-list-dynamic-sections-from-another-view,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
Get just the hash from SHA256.hash(data:)?,5 hours ago,Leo Dabus,6,1,2k,https://stackoverflow.com/questions/65258027/get-just-the-hash-from-sha256-hashdata,https://i.stack.imgur.com/varL9.jpg?s=32&g=1
SwiftUI ObservedObject causes undesirable visible view updates,5 hours ago,pawello2222,3,3,750,https://stackoverflow.com/questions/62214345/swiftui-observedobject-causes-undesirable-visible-view-updates,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
How do i decode an array of dictioniaries using codable,5 hours ago,pawello2222,0,2,186,https://stackoverflow.com/questions/62222284/how-do-i-decode-an-array-of-dictioniaries-using-codable,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
SwiftUI NavigationLink push in onAppear immediately pops the view when using @ObservableObject,5 hours ago,pawello2222,6,2,5k,https://stackoverflow.com/questions/62275502/swiftui-navigationlink-push-in-onappear-immediately-pops-the-view-when-using-ob,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
How to align the an image on top of a button in swiftui?,5 hours ago,pawello2222,2,1,3k,https://stackoverflow.com/questions/62373658/how-to-align-the-an-image-on-top-of-a-button-in-swiftui,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
Extension optional Array with Optional Element. Is it even possible?,5 hours ago,pawello2222,-1,1,471,https://stackoverflow.com/questions/62555320/extension-optional-array-with-optional-element-is-it-even-possible,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
SwiftUI does not load image from Assets,5 hours ago,pawello2222,0,0,229,https://stackoverflow.com/questions/62823303/swiftui-does-not-load-image-from-assets,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
SwiftUI: How to get drag and drop reordering of items to work?,5 hours ago,pawello2222,11,3,6k,https://stackoverflow.com/questions/62709554/swiftui-how-to-get-drag-and-drop-reordering-of-items-to-work,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
