title,time,writer,votes,answers,views,url,img
"When passing variables, two instances of React component are alive. How to delete the old one?",1 min ago,Bergi,0,1,40,https://stackoverflow.com/questions/78337468/when-passing-variables-two-instances-of-react-component-are-alive-how-to-delet,https://www.gravatar.com/avatar/7f2c4de95e8f4f8f5a71c3aaf0ed312a?s=32&d=identicon&r=PG
Typescript dynamic import with string interpolation,9 mins ago,Marc Polizzi,0,1,12,https://stackoverflow.com/questions/78362534/typescript-dynamic-import-with-string-interpolation,https://www.gravatar.com/avatar/9509f06bc24a801f74f157a963a45222?s=32&d=identicon&r=PG&f=y&so-version=2
"How can I filter an array, using a nested value?",12 mins ago,almostasnecessary,0,0,9,https://stackoverflow.com/questions/78363966/how-can-i-filter-an-array-using-a-nested-value,https://www.gravatar.com/avatar/8ac64364dd628b887b484410e84ad5a6?s=32&d=identicon&r=PG&f=y&so-version=2
Alias not finding any components in NextJS,52 mins ago,Bruno Soares Carvalho,0,0,8,https://stackoverflow.com/questions/78363891/alias-not-finding-any-components-in-nextjs,https://lh3.googleusercontent.com/a-/AOh14Gg0pd432ZesoX8peBPC3Fol4jVI5ZHKkk7DNA2ZWg=k-s32
How do i make a type where an object is in it if it passes a condition?,59 mins ago,Brian Duong,-1,1,12,https://stackoverflow.com/questions/78363841/how-do-i-make-a-type-where-an-object-is-in-it-if-it-passes-a-condition,https://lh3.googleusercontent.com/a/AAcHTte_FZvhZ7k_wtXZmvyeQsRTyNNI3IlhCgFVyyON=k-s32
Connection should be a class not an instance (GramJS),1 hour ago,Phil,0,0,8,https://stackoverflow.com/questions/78363785/connection-should-be-a-class-not-an-instance-gramjs,https://www.gravatar.com/avatar/9ad213d8adabe4b64c2d53c5e0e3cab4?s=32&d=identicon&r=PG
How to enable experimental decorators in Storybook 8 w/ NextJS/SWC,1 hour ago,olivierr91,0,0,6,https://stackoverflow.com/questions/78363816/how-to-enable-experimental-decorators-in-storybook-8-w-nextjs-swc,https://www.gravatar.com/avatar/47c05c06542687ef41814dad4c9a7f74?s=32&d=identicon&r=PG&f=y&so-version=2
Why is the function from the second file not called in TypeScript?,1 hour ago,Vanchugov Artemy,-2,0,11,https://stackoverflow.com/questions/78363808/why-is-the-function-from-the-second-file-not-called-in-typescript,https://www.gravatar.com/avatar/e584e4af707bd5c599a3609d771df402?s=32&d=identicon&r=PG&f=y&so-version=2
Get document is not defined when import 'ui/icons' from React Quill library using NextJS,2 hours ago,tihnchoi,1,1,185,https://stackoverflow.com/questions/75308059/get-document-is-not-defined-when-import-ui-icons-from-react-quill-library-usin,https://www.gravatar.com/avatar/a6ddddfad76dc06b913d2e63088c9cee?s=32&d=identicon&r=PG
*ngFor and @for input decorator and casting closure,2 hours ago,sridawg,0,0,22,https://stackoverflow.com/questions/78363676/ngfor-and-for-input-decorator-and-casting-closure,https://www.gravatar.com/avatar/afd816d0c0b480e3b2f627968bcd38bd?s=32&d=identicon&r=PG&f=y&so-version=2
React project's build produces chunk files instead of usable output,3 hours ago,Sara Rodríguez,0,0,10,https://stackoverflow.com/questions/78363577/react-projects-build-produces-chunk-files-instead-of-usable-output,https://www.gravatar.com/avatar/bcd11aa4ab76d75eed1558db1cc2e913?s=32&d=identicon&r=PG&f=y&so-version=2
disable change .ts to .js on autocomplete,3 hours ago,Christian,0,1,17,https://stackoverflow.com/questions/78363507/disable-change-ts-to-js-on-autocomplete,https://www.gravatar.com/avatar/6eae325a9ed8381a9d86ac27a4e2f052?s=32&d=identicon&r=PG&f=y&so-version=2
Problem with typescript TS2322: Type 'ForwardedRef<HTMLElement>,4 hours ago,Kim Gabrielsen,0,0,17,https://stackoverflow.com/questions/78363477/problem-with-typescript-ts2322-type-forwardedrefhtmlelement,https://www.gravatar.com/avatar/93a19fb214ee49b196a6eb58df93bf6e?s=32&d=identicon&r=PG
Create TS type from import.meta.glob data,5 hours ago,Leech,1,1,33,https://stackoverflow.com/questions/78356519/create-ts-type-from-import-meta-glob-data,https://i.stack.imgur.com/GZx6I.png?s=32&g=1
Different DTOs for object that contains id reference to another vs one that contains the full object?,5 hours ago,Rainy sidewalks,0,1,27,https://stackoverflow.com/questions/78363320/different-dtos-for-object-that-contains-id-reference-to-another-vs-one-that-cont,https://i.stack.imgur.com/Js7Lt.jpg?s=32&g=1
