title,time,writer,votes,answers,views,url,img
NextJS: Error: You cannot dot into a client module from a server component. You can only pass the imported name through,2 hours ago,mozu,9,3,6k,https://stackoverflow.com/questions/77239971/nextjs-error-you-cannot-dot-into-a-client-module-from-a-server-component-you,https://i.stack.imgur.com/OGhqu.jpg?s=32&g=1
How to benefit from tree-shaking and code-splitting while loading JSON in Nuxt?,7 hours ago,kissu,2,2,653,https://stackoverflow.com/questions/70429562/how-to-benefit-from-tree-shaking-and-code-splitting-while-loading-json-in-nuxt,https://www.gravatar.com/avatar/912aefa00ffe1fb9c545399984c42b97?s=32&d=identicon&r=PG
How to load resources in Nuxt js only when required,8 hours ago,kissu,0,1,2k,https://stackoverflow.com/questions/68296436/how-to-load-resources-in-nuxt-js-only-when-required,https://www.gravatar.com/avatar/912aefa00ffe1fb9c545399984c42b97?s=32&d=identicon&r=PG
ternary expression breaks in babel/webpack vue3,8 hours ago,kissu,1,1,434,https://stackoverflow.com/questions/71919249/ternary-expression-breaks-in-babel-webpack-vue3,https://www.gravatar.com/avatar/912aefa00ffe1fb9c545399984c42b97?s=32&d=identicon&r=PG
Unable to find an active editor state using webpack serve,10 hours ago,Mudasir Abbasi,0,1,138,https://stackoverflow.com/questions/77228223/unable-to-find-an-active-editor-state-using-webpack-serve,https://lh3.googleusercontent.com/a-/AOh14Gg9eX4anxufr3NmcyoRoDI0LeGbPq2E0IHbC4I5TQ=k-s32
How can I obfuscate Tailwindcss HTML classnames in production?,11 hours ago,Jinendra Jain,7,1,8k,https://stackoverflow.com/questions/66311225/how-can-i-obfuscate-tailwindcss-html-classnames-in-production,https://lh5.googleusercontent.com/-v_qxKgocr80/AAAAAAAAAAI/AAAAAAAAAGM/yg5VxJSyMkA/photo.jpg?sz=32
Preact: How to properly code split pre-rendererd components using dynamic import?,yesterday,miken32,2,2,417,https://stackoverflow.com/questions/75758438/preact-how-to-properly-code-split-pre-rendererd-components-using-dynamic-import,https://www.gravatar.com/avatar/5ed02658b2440179f00eeff8beb7aa4c?s=32&d=identicon&r=PG
How do I use loadPath with sass-loader and webpack?,yesterday,miken32,6,1,416,https://stackoverflow.com/questions/75525246/how-do-i-use-loadpath-with-sass-loader-and-webpack,https://www.gravatar.com/avatar/5ed02658b2440179f00eeff8beb7aa4c?s=32&d=identicon&r=PG
GENERATE_SOURCEMAP=false Issue,yesterday,Najibullah Jafari,39,11,83k,https://stackoverflow.com/questions/57093235/generate-sourcemap-false-issue,https://lh3.googleusercontent.com/a/AAcHTtdow2L7o7bgs3yzdsafPzSYXF-PQkJC46t5EpotUZRZ1g=k-s32
Where to find webpack config file inside a app created using CRA(create-react-app),yesterday,Dharman,0,1,1k,https://stackoverflow.com/questions/69857397/where-to-find-webpack-config-file-inside-a-app-created-using-cracreate-react-ap,https://i.stack.imgur.com/agMKZ.png?s=32&g=1
'require is not defined' error when I try to run bundle.mjs creaated by webpack,yesterday,Toto,0,0,17,https://stackoverflow.com/questions/78358477/require-is-not-defined-error-when-i-try-to-run-bundle-mjs-creaated-by-webpack,https://www.gravatar.com/avatar/c23314ea6b2a6acee8e4895e1c1fd6ab?s=32&d=identicon&r=PG&f=y&so-version=2
"How to fix ""FATAL ERROR: Ineffective mark-compacts near heap limit Allocation failed - JavaScript heap out of memory"" error",yesterday,Matija,75,19,146k,https://stackoverflow.com/questions/55613789/how-to-fix-fatal-error-ineffective-mark-compacts-near-heap-limit-allocation-fa,https://www.gravatar.com/avatar/bf892e6b94ccc4a5db02eefff44d3efe?s=32&d=identicon&r=PG&f=y&so-version=2
"How to fix TS7019, TS2339, and TS7053 errors in TypeScript?",yesterday,KargWare,-2,0,25,https://stackoverflow.com/questions/78357369/how-to-fix-ts7019-ts2339-and-ts7053-errors-in-typescript,https://i.stack.imgur.com/Xd1vU.png?s=32&g=1
How to configure path alias in webpack.mix?,yesterday,Dalija Prasnikar,6,2,5k,https://stackoverflow.com/questions/71225442/how-to-configure-path-alias-in-webpack-mix,https://i.stack.imgur.com/njcHD.jpg?s=32&g=1
Convert webpack.config.js to vite,yesterday,infodev,0,0,10,https://stackoverflow.com/questions/78355840/convert-webpack-config-js-to-vite,https://www.gravatar.com/avatar/d9e064b01cca2ae083ac73621740ab65?s=32&d=identicon&r=PG&f=y&so-version=2
