title,time,writer,votes,answers,views,url,img
Jenkins unable to start Oracle VirtualBox,10 mins ago,Aaron Christiansen,0,2,570,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/66VqR.jpg?s=32&g=1
Finding USB's device descriptor (more specifically the bcdUSB) without needing to install additional driver in C#,20 mins ago,Daniel F,0,0,4,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/0891d8ab67d592969f8d359a135f518e?s=32&d=identicon&r=PG&f=y&so-version=2
How to Access WiFi Network Statistics from a Windows Host in a Docker Container?,43 mins ago,Mei Olya,0,0,6,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://lh6.googleusercontent.com/-niN3kQT61LA/AAAAAAAAAAI/AAAAAAAAASs/Bino_WYz_RU/photo.jpg?sz=32
UNABLE_TO_VERIFY_LEAF_SIGNATURE | unable to verify the first certificate,55 mins ago,Peter Matisko,3,1,132,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/8CZL8.jpg?s=32&g=1
<3>WSL (358) ERROR: CreateProcessParseCommon:789: Failed to translate Z:/,1 hour ago,Qo Ao,8,4,10k,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/b964a7aca6589fd4a50aeea5b36a6050?s=32&d=identicon&r=PG&f=y&so-version=2
Change the folder with python scripts under Windows,1 hour ago,Victor,0,0,24,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/NEBAq.jpg?s=32&g=1
"Mysysgit ""(END)"" displays, how do I proceed?",2 hours ago,kulpreet,93,4,26k,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/ba9f1d2f3418bb809320123188a8a39d?s=32&d=identicon&r=PG
Does opening files in shared mode have a performance hit?,2 hours ago,PierU,1,0,41,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/954540698307fab486b2e1c158cb3c92?s=32&d=identicon&r=PG&f=y&so-version=2
How can I create a website in IIS using powershell?,2 hours ago,Cow,0,0,21,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/wbLkC.jpg?s=32&g=1
Docker Issue: 'com.docker.dev-envs.exe has Exited',4 hours ago,Ahmad Basher,0,0,7,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a/AGNmyxa_1o2ypmqiDhEXWPCepPHF0poYJPyaAtgUEEL2=k-s32
Select hyphenated word with double-click,6 hours ago,Nick Petrie,4,2,2k,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/0547d35ea8ebae311fd926428b808f4c?s=32&d=identicon&r=PG&f=y&so-version=2
What is the difference between SetClipboardData and OleSetClipboard? [closed],7 hours ago,Never.More,0,0,29,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/e8abc1234da0c66aedfec7c243ab6c06?s=32&d=identicon&r=PG&f=y&so-version=2
"How to get ""valid data length"" of a file?",7 hours ago,Patrick,7,5,1k,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/f52a70314903f71bd8060ba537342063?s=32&d=identicon&r=PG&f=y&so-version=2
"""file or directory is not a reparse point"" in a network drive -- pyspark run locally on windows",8 hours ago,Ken White,0,0,21,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/15264f7bf48e10ce32dfa4865a13763c?s=32&d=identicon&r=PG
ctrl + <del> or <backspace> won't delete a whole word in Neovim,8 hours ago,GAVD,1,1,20,https://stackoverflow.com/questions/tagged/Windows?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/3QQ10.gif?s=32&g=1
