title,time,writer,votes,answers,views,url,img
What is PopScope widget for?,just now,Ravindra S. Patil,0,2,9,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://i.stack.imgur.com/tGTqb.jpg?s=32&g=1
Expanded widget takes full height of the screen irrespective of its children,3 mins ago,Lambouw,1,3,5k,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/ee5763be0419a3d3e5357ddab206372b?s=32&d=identicon&r=PG&f=y&so-version=2
How to rotate circle animatedly in flutter,16 mins ago,user1,0,0,8,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/2f189c77ed060aefc738f748507fd65e?s=32&d=identicon&r=PG&f=y&so-version=2
Do Mixins really slow down compilation time?,27 mins ago,Dan R,0,1,33,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/750e3ed159b611bcfb0379aa8411e99b?s=32&d=identicon&r=PG&f=y&so-version=2
Framework 'FlutterPluginRegistrant' not found,32 mins ago,sandy,0,0,4,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/c65490f7df2b454195c09f29c4092c16?s=32&d=identicon&r=PG&f=y&so-version=2
"Cast a String of a DocumentReference, to a DocumentReference",40 mins ago,MAA,0,2,30,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/b69cf89393a65a708b4dc9bdbc0f2243?s=32&d=identicon&r=PG&f=y&so-version=2
DropdownMenu does not pop down when filter an existing riverpod provider to create dropdownMenuEntries,42 mins ago,pbs_mhl,0,0,36,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/7653f158f655a04887683b1662ddc3c6?s=32&d=identicon&r=PG&f=y&so-version=2
How do I get data from a js function?,45 mins ago,EquilibriumOfMyOwn,0,1,28,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/34ff22d83f25ac23dd3200bac60daf28?s=32&d=identicon&r=PG
Run with --stacktrace option to get the stack trace. Run with --info or --debug option to get more log output. Run with --scan to get full insights,56 mins ago,Jamal-o,0,1,12,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://lh4.googleusercontent.com/-oUW6l_k4fWA/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3reqy3OiSAQkOj7byW4iH55RFw1dKg/photo.jpg?sz=32
"Error Domain=AVFoundationErrorDomain Code=-11828 ""Cannot Open""",57 mins ago,Rajasree Pv,0,0,5,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/7c3edd97ebdf421143fa6bab1fdd4a9d?s=32&d=identicon&r=PG&f=y&so-version=2
Mock Location Flutter,1 hour ago,Md. Mainul Islam,0,0,5,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/8ae4a9792bbb7d0c9f8be0f1bf77f6a9?s=32&d=identicon&r=PG&f=y&so-version=2
Not able to add firebase to my Flutter project,1 hour ago,white-mamba,0,0,26,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://lh3.googleusercontent.com/a/ACg8ocI2plGBpD4jl2UsjU9uqrT7yWqLm-hyDTGxTVQtFw_i=k-s32
"Getting error ""error starting screen record"" while recording screen through Android emulator",1 hour ago,tushar73,0,0,9,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/ac13d6983cd026f0f2d878408fa04c3e?s=32&d=identicon&r=PG&f=y&so-version=2
"Tapping device's back button, the app closes completely using go_router package",1 hour ago,KalpeshChavda,0,0,11,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/3d4416454e874fc4cc6b7833926cbbf5?s=32&d=identicon&r=PG&f=y&so-version=2
Back button doesn't go back a page but quits webview in FLUTTER,1 hour ago,Tineswaran Chandran,0,1,20,https://stackoverflow.com/questions/tagged/flutter?tab=active&page=1&pagesize=15,https://www.gravatar.com/avatar/4421c1ba4594a7ff2432ea7ecdc9516d?s=32&d=identicon&r=PG&f=y&so-version=2
