title,time,writer,votes,answers,views,url,img
apple publish issue The issues we previously identified still need your attention,20 mins ago,Anuj Boss,0,0,3,https://stackoverflow.com/questions/78363948/apple-publish-issue-the-issues-we-previously-identified-still-need-your-attentio,https://lh3.googleusercontent.com/a/ACg8ocIjQj3E6AaSPt0dPqpmjgTLh_JGvid1BB9TOBMerG2S=k-s32
How to launch flavour of flutter module from native side?,20 mins ago,rv7284,0,0,30,https://stackoverflow.com/questions/78351921/how-to-launch-flavour-of-flutter-module-from-native-side,https://www.gravatar.com/avatar/c65a7f6fc220b5321e00df46fe9aa2f4?s=32&d=identicon&r=PG
Failure to Generate iOS React Native 0.72.12 Project in Custom Directory,1 hour ago,Yan,0,0,6,https://stackoverflow.com/questions/78363819/failure-to-generate-ios-react-native-0-72-12-project-in-custom-directory,https://www.gravatar.com/avatar/284c324816e97d2bb8e2dd217b73a6d0?s=32&d=identicon&r=PG&f=y&so-version=2
Face Recognition in Flutter for Android And iOS [closed],4 hours ago,Jackie Wang,-1,0,17,https://stackoverflow.com/questions/78356751/face-recognition-in-flutter-for-android-and-ios,https://lh3.googleusercontent.com/a/AGNmyxbMtnNn41mt_soMeAb2n6ThOky7IrYrpsKndfsn=k-s32
SnapSDK Creative Kit problem with startSending(content),4 hours ago,MilosPolo,0,0,9,https://stackoverflow.com/questions/78363532/snapsdk-creative-kit-problem-with-startsendingcontent,https://www.gravatar.com/avatar/1fc3c965bf4521794e842d119669cb57?s=32&d=identicon&r=PG&f=y&so-version=2
ITMS-91053: Missing API declaration - Privacy,5 hours ago,mswlogo,221,14,71k,https://stackoverflow.com/questions/78163859/itms-91053-missing-api-declaration-privacy,https://www.gravatar.com/avatar/3ff7a1303d2e91fd96d0850f7a83d1a9?s=32&d=identicon&r=PG&f=y&so-version=2
SwiftUI: how to make network request when value of binding changes?,5 hours ago,pawello2222,3,1,918,https://stackoverflow.com/questions/62157313/swiftui-how-to-make-network-request-when-value-of-binding-changes,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
SwiftUI NavigationLink push in onAppear immediately pops the view when using @ObservableObject,5 hours ago,pawello2222,6,2,5k,https://stackoverflow.com/questions/62275502/swiftui-navigationlink-push-in-onappear-immediately-pops-the-view-when-using-ob,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
SwiftUI: How to get drag and drop reordering of items to work?,5 hours ago,pawello2222,11,3,6k,https://stackoverflow.com/questions/62709554/swiftui-how-to-get-drag-and-drop-reordering-of-items-to-work,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
Center SwiftUI view in top-level view,5 hours ago,pawello2222,3,1,4k,https://stackoverflow.com/questions/63251367/center-swiftui-view-in-top-level-view,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
'self.init' isn't called on all paths before returning from initializer,5 hours ago,pawello2222,5,2,4k,https://stackoverflow.com/questions/63636431/self-init-isnt-called-on-all-paths-before-returning-from-initializer,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
SwiftUI: Using different property wrappers for the same variable,5 hours ago,pawello2222,3,2,1k,https://stackoverflow.com/questions/63782397/swiftui-using-different-property-wrappers-for-the-same-variable,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
"SwiftUI TabView inside NavigationStack adds extra spacing, I only want my toolbar item there but it also adds invisible spacing",5 hours ago,Tay Baye,0,0,30,https://stackoverflow.com/questions/78363390/swiftui-tabview-inside-navigationstack-adds-extra-spacing-i-only-want-my-toolba,https://lh3.googleusercontent.com/a/AEdFTp43Iz9Fdcp7Oq9c9OXeZq3cy6VFTNxCpv27qiah=k-s32
SwiftUI NavigationButton within navigationBarItems,5 hours ago,pawello2222,20,2,17k,https://stackoverflow.com/questions/56606053/swiftui-navigationbutton-within-navigationbaritems,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
How to reload timeline of iOS 14 widget from notification response?,5 hours ago,pawello2222,18,3,13k,https://stackoverflow.com/questions/62754880/how-to-reload-timeline-of-ios-14-widget-from-notification-response,https://i.stack.imgur.com/q6eWO.png?s=32&g=1
