title,time,writer,votes,answers,views,url,img
"Very new to programming, wondering how to change background colour on nav bar element when it is active? CSS HTML JAVASCRIPT",18 mins ago,Darya Shuhlia,1,2,23,https://stackoverflow.com/questions/78363591/very-new-to-programming-wondering-how-to-change-background-colour-on-nav-bar-el,https://www.gravatar.com/avatar/8931573811f32d36b84d9181b0dbe39a?s=32&d=identicon&r=PG&f=y&so-version=2
Passing key-value pairs of multiple related form fields as a JSON string,2 hours ago,mickmackusa,0,3,131,https://stackoverflow.com/questions/46285936/passing-key-value-pairs-of-multiple-related-form-fields-as-a-json-string,https://i.stack.imgur.com/1nKmA.jpg?s=32&g=1
JQuery access iframe elements,3 hours ago,Community,3,4,16k,https://stackoverflow.com/questions/6785971/jquery-access-iframe-elements,https://www.gravatar.com/avatar/a007be5a61f6aa8f3e85ae2fc18dd66e?s=32&d=identicon&r=PG
jQuery: How to trim new line and tab characters between words?,4 hours ago,informatik01,10,4,24k,https://stackoverflow.com/questions/19628942/jquery-how-to-trim-new-line-and-tab-characters-between-words,https://i.stack.imgur.com/Pub1I.png?s=32&g=1
Streamlabs custom CSS twitch chat animate name and message seperatly,4 hours ago,Community,1,1,18k,https://stackoverflow.com/questions/42248157/streamlabs-custom-css-twitch-chat-animate-name-and-message-seperatly,https://www.gravatar.com/avatar/a007be5a61f6aa8f3e85ae2fc18dd66e?s=32&d=identicon&r=PG
Getting highcharts error #13 from one element rewritten as highstock,4 hours ago,Community,2,1,8k,https://stackoverflow.com/questions/38687254/getting-highcharts-error-13-from-one-element-rewritten-as-highstock,https://www.gravatar.com/avatar/a007be5a61f6aa8f3e85ae2fc18dd66e?s=32&d=identicon&r=PG
How to create a clickable stepper,8 hours ago,Meryem ACHEMLAL,0,1,50,https://stackoverflow.com/questions/78354302/how-to-create-a-clickable-stepper,https://lh3.googleusercontent.com/a-/AOh14Gj3YFT7zQgLMFCHslvo-kaI8psEoQpshcEcGkLz=k-s32
What is the exact purpose of using mapActions in vue js?,8 hours ago,Najmul Hosain,2,3,10k,https://stackoverflow.com/questions/66045019/what-is-the-exact-purpose-of-using-mapactions-in-vue-js,https://graph.facebook.com/100004310712976/picture?type=large
Accessing json objects with no name,9 hours ago,Jerico,2,1,4k,https://stackoverflow.com/questions/27011199/accessing-json-objects-with-no-name,https://i.stack.imgur.com/vXqPQ.png?s=32&g=1
How to upload file in ASP.NET MVC with ajax?,10 hours ago,IceCode,0,1,17,https://stackoverflow.com/questions/78362262/how-to-upload-file-in-asp-net-mvc-with-ajax,https://i.stack.imgur.com/XU54x.jpg?s=32&g=1
Uncaught SyntaxError: Unexpected token : AJAX,10 hours ago,Community,2,2,8k,https://stackoverflow.com/questions/38077658/uncaught-syntaxerror-unexpected-token-ajax,https://www.gravatar.com/avatar/a007be5a61f6aa8f3e85ae2fc18dd66e?s=32&d=identicon&r=PG
How to convert input 'text' in particular date format like 'dd-MM-yyyy',10 hours ago,chrwahl,-1,3,34,https://stackoverflow.com/questions/78349929/how-to-convert-input-text-in-particular-date-format-like-dd-mm-yyyy,https://www.gravatar.com/avatar/557247f0433d0d2844511251b0007c6d?s=32&d=identicon&r=PG
CSS3 Transform scaling issue on IPad Safari,13 hours ago,Danny Beckett,1,1,2k,https://stackoverflow.com/questions/17061942/css3-transform-scaling-issue-on-ipad-safari,https://i.stack.imgur.com/SU0xt.jpg?s=32&g=1
the html template fragment is not updated correctly when working with ajax,13 hours ago,SerhiiL,0,0,25,https://stackoverflow.com/questions/78361090/the-html-template-fragment-is-not-updated-correctly-when-working-with-ajax,https://www.gravatar.com/avatar/7cc03cecd1e60ab679d6fc1bf6e159ac?s=32&d=identicon&r=PG&f=y&so-version=2
How can I have a link that executes a command in jQuery Terminal?,13 hours ago,jcubic,1,1,36,https://stackoverflow.com/questions/78342322/how-can-i-have-a-link-that-executes-a-command-in-jquery-terminal,https://i.stack.imgur.com/0yZIu.png?s=32&g=1
